Welcome__Mouse.x,Welcome__Mouse.y,Welcome__Mouse.leftButton,Welcome__Mouse.midButton,Welcome__Mouse.rightButton,Welcome__Mouse.time,Welcome__Mouse.clicked_name,GenIns__Mouse.x,GenIns__Mouse.y,GenIns__Mouse.leftButton,GenIns__Mouse.midButton,GenIns__Mouse.rightButton,GenIns__Mouse.time,GenIns__Mouse.clicked_name,date,expName,psychopyVersion,OS,frameRate,CompleteB1__Mouse.x,CompleteB1__Mouse.y,CompleteB1__Mouse.leftButton,CompleteB1__Mouse.midButton,CompleteB1__Mouse.rightButton,CompleteB1__Mouse.time,CompleteB1__Mouse.clicked_name,B2__DoYouUnderstand,B2VCCD__Mouse.x,B2VCCD__Mouse.y,B2VCCD__Mouse.leftButton,B2VCCD__Mouse.midButton,B2VCCD__Mouse.rightButton,B2VCCD__Mouse.time,B2VCCD__Mouse.clicked_name,B2VCCD__Mouse2.x,B2VCCD__Mouse2.y,B2VCCD__Mouse2.leftButton,B2VCCD__Mouse2.midButton,B2VCCD__Mouse2.rightButton,B2VCCD__Mouse2.time,B2VCCD__Mouse2.clicked_name,VisualComplexity,images6,B2VisCom__Mouse.x,B2VisCom__Mouse.y,B2VisCom__Mouse.leftButton,B2VisCom__Mouse.midButton,B2VisCom__Mouse.rightButton,B2VisCom__Mouse.time,B2VisCom__Mouse.clicked_name,ColourDiagnosticity,B2ColDia__Mouse.x,B2ColDia__Mouse.y,B2ColDia__Mouse.leftButton,B2ColDia__Mouse.midButton,B2ColDia__Mouse.rightButton,B2ColDia__Mouse.time,B2ColDia__Mouse.clicked_name
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,VisCom_3,images/stimuli/photos/grapes3-photo-colour.png,"[0.17153273809523809,0.17153273809523809]","[-0.1819717261904762,-0.15854538690476191]","[1,1]","[0,0]","[0,0]","[0.6670000553131104,0.9170000553131104]","[""B2VisCom__3""]",ColDia_3,[0.20318080357142856],[-0.31379464285714287],[1],[0],[0],[0.28099989891052246],"[""B2ColDia__3""]"
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,VisCom_4,images/stimuli/photos/jacket3-photo-grey.png,[0.3554017857142857],[-0.17553199404761904],[1],[0],[0],[1.5149998664855957],"[""B2VisCom__4""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,VisCom_4,images/stimuli/photos/onion3-photo-colour.png,[0.3554017857142857],[-0.17553199404761904],[1],[0],[0],[0.3489999771118164],"[""B2VisCom__4""]",ColDia_4,[0.34746651785714283],[-0.3369456845238095],[1],[0],[0],[0.3469998836517334],"[""B2ColDia__4""]"
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,VisCom_4,images/stimuli/photos/bicycle3-photo-grey.png,[0.33931175595238094],[-0.16613467261904763],[1],[0],[0],[0.3819999694824219],"[""B2VisCom__4""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,VisCom_4,images/stimuli/photos/raccoon3-photo-colour.png,[0.33931175595238094],[-0.16613467261904763],[1],[0],[0],[0.28299999237060547],"[""B2VisCom__4""]",ColDia_4,[0.33791666666666664],[-0.33007440476190475],[1],[0],[0],[0.26600003242492676],"[""B2ColDia__4""]"
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,VisCom_5,images/stimuli/photos/thumb3-photo-grey.png,[0.48112723214285713],[-0.15533482142857144],[1],[0],[0],[0.4140000343322754],"[""B2VisCom__5""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,VisCom_5,images/stimuli/photos/kite3-photo-colour.png,[0.48112723214285713],[-0.15533482142857144],[1],[0],[0],[0.33299994468688965],"[""B2VisCom__5""]",ColDia_5,[0.47312127976190477],[-0.3511123511904762],[1],[0],[0],[0.2799999713897705],"[""B2ColDia__5""]"
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,VisCom_5,images/stimuli/photos/turtle3-photo-grey.png,[0.4975483630952381],[-0.15106770833333333],[1],[0],[0],[0.3489999771118164],"[""B2VisCom__5""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,VisCom_5,images/stimuli/photos/flute3-photo-colour.png,[0.4975483630952381],[-0.15053571428571427],[1],[0],[0],[0.3490002155303955],"[""B2VisCom__5""]",ColDia_5,[0.4864136904761905],[-0.32763020833333334],[1],[0],[0],[0.44900012016296387],"[""B2ColDia__5""]"
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
