Order,Welcome__Mouse.x,Welcome__Mouse.y,Welcome__Mouse.leftButton,Welcome__Mouse.midButton,Welcome__Mouse.rightButton,Welcome__Mouse.time,Welcome__Mouse.clicked_name,GenIns__Mouse.x,GenIns__Mouse.y,GenIns__Mouse.leftButton,GenIns__Mouse.midButton,GenIns__Mouse.rightButton,GenIns__Mouse.time,GenIns__Mouse.clicked_name,Welcome__Repeat__Loop.thisRepN,Welcome__Repeat__Loop.thisTrialN,Welcome__Repeat__Loop.thisN,Welcome__Repeat__Loop.thisIndex,Welcome__Repeat__Loop.ran,Welcome__Repeat__Loop.order,date,expName,psychopyVersion,frameRate,CompleteB1__Mouse.x,CompleteB1__Mouse.y,CompleteB1__Mouse.leftButton,CompleteB1__Mouse.midButton,CompleteB1__Mouse.rightButton,CompleteB1__Mouse.time,CompleteB1__Mouse.clicked_name,CompleteB2__Mouse.x,CompleteB2__Mouse.y,CompleteB2__Mouse.leftButton,CompleteB2__Mouse.midButton,CompleteB2__Mouse.rightButton,CompleteB2__Mouse.time,CompleteB2__Mouse.clicked_name,DidYouHearBeep,Debrief_Comments,Debrief__Mouse.x,Debrief__Mouse.y,Debrief__Mouse.leftButton,Debrief__Mouse.midButton,Debrief__Mouse.rightButton,Debrief__Mouse.time,Debrief__Mouse.clicked_name,Debrief__Mouse2.x,Debrief__Mouse2.y,Debrief__Mouse2.leftButton,Debrief__Mouse2.midButton,Debrief__Mouse2.rightButton
B,[0.721108630952381],[0.4281510416666667],[1],[0],[0],[1.346],"[""Welcome__Next""]",[0.721108630952381],[0.4281510416666667],[1],[0],[0],[0.18400000000000105],"[""GenIns__Next""]",20,0,20,0,1,19,2019-08-28_08h22.14.369,Subjective Judgments for Photographic Stimuli --- 02,3.1.5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-08-28_08h22.14.369,Subjective Judgments for Photographic Stimuli --- 02,3.1.5,60,[-0.0022805059523809523],[0.19822916666666668],[1],[0],[0],[1.0779999999999994],"[""CompleteB1__Next""]",[-0.0022805059523809523],[0.19822916666666668],[1],[0],[0],[0.43100000000000094],"[""CompleteB2__Next""]",Yes,,"[0.012172619047619048,0.3757440476190476,0.3757440476190476,0.29643601190476193,-0.238671875]","[0.27853794642857144,-0.1697470238095238,-0.17043526785714286,0.11030133928571428,0.1362611607142857]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.8470000000000013,5.1469999999999985,5.280000000000001,5.5489999999999995,9.665]","[""Debrief__Yes""]",-0.103802083,0.139475446,1,0,0
