Order,Welcome__Mouse.x,Welcome__Mouse.y,Welcome__Mouse.leftButton,Welcome__Mouse.midButton,Welcome__Mouse.rightButton,Welcome__Mouse.time,Welcome__Mouse.clicked_name,GenIns__Mouse.x,GenIns__Mouse.y,GenIns__Mouse.leftButton,GenIns__Mouse.midButton,GenIns__Mouse.rightButton,GenIns__Mouse.time,GenIns__Mouse.clicked_name,Welcome__Repeat__Loop.thisRepN,Welcome__Repeat__Loop.thisTrialN,Welcome__Repeat__Loop.thisN,Welcome__Repeat__Loop.thisIndex,Welcome__Repeat__Loop.ran,Welcome__Repeat__Loop.order,date,expName,psychopyVersion,frameRate,CompleteB1__Mouse.x,CompleteB1__Mouse.y,CompleteB1__Mouse.leftButton,CompleteB1__Mouse.midButton,CompleteB1__Mouse.rightButton,CompleteB1__Mouse.time,CompleteB1__Mouse.clicked_name,CompleteB2__Mouse.x,CompleteB2__Mouse.y,CompleteB2__Mouse.leftButton,CompleteB2__Mouse.midButton,CompleteB2__Mouse.rightButton,CompleteB2__Mouse.time,CompleteB2__Mouse.clicked_name,DidYouHearBeep,Debrief_Comments,Debrief__Mouse.x,Debrief__Mouse.y,Debrief__Mouse.leftButton,Debrief__Mouse.midButton,Debrief__Mouse.rightButton,Debrief__Mouse.time,Debrief__Mouse.clicked_name,Debrief__Mouse2.x,Debrief__Mouse2.y,Debrief__Mouse2.leftButton,Debrief__Mouse2.midButton,Debrief__Mouse2.rightButton,Debrief__Mouse2.time,Debrief__Mouse2.clicked_name
B,[0.6788839285714285],[0.43604910714285716],[1],[0],[0],[1.1620000000000008],"[""Welcome__Next""]",[0.6788839285714285],[0.43604910714285716],[1],[0],[0],[0.2370000000000001],"[""GenIns__Next""]",20,0,20,0,1,19,2019-08-28_09h57.14.448,Subjective Judgments for Photographic Stimuli --- 02,3.1.5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-08-28_09h57.14.448,Subjective Judgments for Photographic Stimuli --- 02,3.1.5,60,[-0.009869791666666667],[0.1865141369047619],[1],[0],[0],[1.216000000000001],"[""CompleteB1__Next""]",[-0.009869791666666667],[0.1865141369047619],[1],[0],[0],[0.2959999999999994],"[""CompleteB2__Next""]",No,,[-0.1338690476190476],[0.13889508928571428],[1],[0],[0],[23.181999999999995],"[""Debrief__No""]","[-0.27144345238095235,-0.08814732142857143,-0.30778645833333335,-0.3226264880952381,-0.14886160714285715,0.3793043154761905]","[0.13365699404761905,0.13365699404761905,0.24942708333333333,0.11081845238095238,-0.08091889880952381,0.23825892857142858]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[23.899,24.198999999999998,24.497999999999998,24.768,25.199999999999996,28.015]","[""Debrief__Submit""]"
