Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Randomise questionnaire elements?,Question Key,Response
1,1619095296265,22/04/2021 12:41:36,1619095295106,1,22/04/2021 13:41:35,47727,10,questionnaire-h32i,,12105885,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1240x610,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1619095499716,22/04/2021 12:44:59,1619095498573,1,22/04/2021 13:44:58,47727,10,questionnaire-h32i,,12105885,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1225x610,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,No,rec_justification,I remembered seeing the image because the image was interesting and I remembered having some kind of reaction to it the first time i saw it.
3,1619095499785,22/04/2021 12:44:59,1619095498575,1,22/04/2021 13:44:58,47727,10,questionnaire-h32i,,12105885,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1225x610,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,No,fam_justification,I don't recall the moment I saw the image however I remember seeing it before
4,1619095499785,22/04/2021 12:44:59,1619095498575,1,22/04/2021 13:44:58,47727,10,questionnaire-h32i,,12105885,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1225x610,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,No,guess_justification,I feel like i have seen the image before but I don't remember when.
5,1619095499785,22/04/2021 12:44:59,1619095498575,1,22/04/2021 13:44:58,47727,10,questionnaire-h32i,,12105885,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1225x610,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,No,mem_skills_1,a little worse
6,1619095499785,22/04/2021 12:44:59,1619095498576,1,22/04/2021 13:44:58,47727,10,questionnaire-h32i,,12105885,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1225x610,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,No,mem_skills_1-quantised,4
7,1619095499785,22/04/2021 12:44:59,1619095498576,1,22/04/2021 13:44:58,47727,10,questionnaire-h32i,,12105885,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1225x610,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,No,mem_skills_2,a little worse
8,1619095499785,22/04/2021 12:44:59,1619095498576,1,22/04/2021 13:44:58,47727,10,questionnaire-h32i,,12105885,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1225x610,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,No,mem_skills_2-quantised,4
9,1619095499785,22/04/2021 12:44:59,1619095498576,1,22/04/2021 13:44:58,47727,10,questionnaire-h32i,,12105885,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1225x610,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,No,attention_check,a little worse
10,1619095499785,22/04/2021 12:44:59,1619095498577,1,22/04/2021 13:44:58,47727,10,questionnaire-h32i,,12105885,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1225x610,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,No,attention_check-quantised,4
11,1619095499785,22/04/2021 12:44:59,1619095498577,1,22/04/2021 13:44:58,47727,10,questionnaire-h32i,,12105885,14956,3655787,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 75.0.3969.171,1280x720,1225x610,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,orange,Orange,,orange.order1,,,,,orange.order1__finished,,,,,,Distractor finished,,,,,,,,,,,,,No,END QUESTIONNAIRE,203471
1,1619096944607,22/04/2021 13:09:04,1619093363150,1,22/04/2021 13:09:23,47727,10,questionnaire-h32i,,12106946,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x657,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1619097085198,22/04/2021 13:11:25,1619093503620,1,22/04/2021 13:11:43,47727,10,questionnaire-h32i,,12106946,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1349x657,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,No,rec_justification,im definetly sure ive seen it before 
3,1619097085416,22/04/2021 13:11:25,1619093503642,1,22/04/2021 13:11:43,47727,10,questionnaire-h32i,,12106946,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1349x657,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,No,fam_justification,i think i saw it before
4,1619097085416,22/04/2021 13:11:25,1619093503643,1,22/04/2021 13:11:43,47727,10,questionnaire-h32i,,12106946,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1349x657,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,No,guess_justification,maybe i saw it before im not completely sure 
5,1619097085416,22/04/2021 13:11:25,1619093503645,1,22/04/2021 13:11:43,47727,10,questionnaire-h32i,,12106946,14004,3656153,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1349x657,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,No,mem_skills_1,a little better
