Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
281,1619031399675,21/04/2021 18:56:39,1619031399647,1,21/04/2021 19:56:39,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,121,96,3,Fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,red.teal.test,lemon--drawing.png,new.png
282,1619031400554,21/04/2021 18:56:40,1619031400524,1,21/04/2021 19:56:40,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,27,97,1,OldNew,new,response_button_image,806,,,new.png,1,1,0,0,,,,,2,red.teal.test,needle--drawing-word.png,new.png
283,1619031401210,21/04/2021 18:56:41,1619031401196,1,21/04/2021 19:56:41,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,27,97,3,Fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,red.teal.test,needle--drawing-word.png,new.png
284,1619031402183,21/04/2021 18:56:42,1619031402167,1,21/04/2021 19:56:42,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,89,98,1,OldNew,old,response_button_image,906,,,old.png,1,0,1,0,,,,,2,red.teal.test,snowman--drawing-word.png,new.png
285,1619031402386,21/04/2021 18:56:42,1619031402387,1,21/04/2021 19:56:42,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,89,98,2,RFG,old,response_button_image,10.000000000058208,,,recollection.png,1,0,1,0,,,,,2,red.teal.test,snowman--drawing-word.png,new.png
286,1619031403058,21/04/2021 18:56:43,1619031403046,1,21/04/2021 19:56:43,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,89,98,3,Fixation,fixation,fixation,501,,,,,0,1,0,,,,,2,red.teal.test,snowman--drawing-word.png,new.png
287,1619031404198,21/04/2021 18:56:44,1619031404184,1,21/04/2021 19:56:44,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,76,99,1,OldNew,new,response_button_image,1072,,,new.png,1,1,0,0,,,,,2,red.teal.test,skunk--photo.png,new.png
288,1619031404886,21/04/2021 18:56:44,1619031404860,1,21/04/2021 19:56:44,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,76,99,3,Fixation,fixation,fixation,499,,,,,0,1,0,,,,,2,red.teal.test,skunk--photo.png,new.png
289,1619031405814,21/04/2021 18:56:45,1619031405797,1,21/04/2021 19:56:45,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,143,100,1,OldNew,new,response_button_image,868,,,new.png,1,1,0,0,,,,,2,red.teal.test,frog--photo.png,new.png
290,1619031406489,21/04/2021 18:56:46,1619031406476,1,21/04/2021 19:56:46,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,143,100,3,Fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,red.teal.test,frog--photo.png,new.png
291,1619031407682,21/04/2021 18:56:47,1619031407675,1,21/04/2021 19:56:47,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,122,101,1,OldNew,old,response_button_image,1127,,,old.png,1,0,1,0,,,,,2,red.teal.test,cannon--drawing.png,new.png
292,1619031408619,21/04/2021 18:56:48,1619031408609,1,21/04/2021 19:56:48,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,122,101,2,RFG,old,response_button_image,697.9999999999418,,,recollection.png,1,0,1,0,,,,,2,red.teal.test,cannon--drawing.png,new.png
293,1619031409292,21/04/2021 18:56:49,1619031409274,1,21/04/2021 19:56:49,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,122,101,3,Fixation,fixation,fixation,499,,,,,0,1,0,,,,,2,red.teal.test,cannon--drawing.png,new.png
294,1619031410698,21/04/2021 18:56:50,1619031410687,1,21/04/2021 19:56:50,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,116,102,1,OldNew,new,response_button_image,1346,,,new.png,1,1,0,0,,,,,2,red.teal.test,belt--drawing.png,new.png
295,1619031411401,21/04/2021 18:56:51,1619031411390,1,21/04/2021 19:56:51,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,116,102,3,Fixation,fixation,fixation,501,,,,,0,1,0,,,,,2,red.teal.test,belt--drawing.png,new.png
