Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
1,1618845276723,19/04/2021 15:14:36,1618845276624,1,19/04/2021 16:14:36,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x689,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1618845278426,19/04/2021 15:14:38,1618845278333,1,19/04/2021 16:14:38,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x689,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,1,1,1,check,script,force_advance,1700.748,,,,,0,1,0,,,,,,fullscreen_check,,
3,1618845278895,19/04/2021 15:14:38,1618845278819,1,19/04/2021 16:14:38,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,2,1,1,Screen 1,fixation,fixation,500.22000000000025,,,,,0,1,0,,,,,,fixation,,
4,1618845283549,19/04/2021 15:14:43,1618845283508,1,19/04/2021 16:14:43,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,12,1,1,OldNew,old,response_button_image,4636.534999997821,,,old.png,1,0,1,0,,,,,1,filler,helicopter--drawing-word.png,new.png
5,1618845286018,19/04/2021 15:14:46,1618845285978,1,19/04/2021 16:14:45,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,12,1,2,RFG,Zone1,response_button_image,2234.0950000216253,,,familiarity.png,1,0,1,0,,,,,1,filler,helicopter--drawing-word.png,new.png
6,1618845286732,19/04/2021 15:14:46,1618845286687,1,19/04/2021 16:14:46,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,12,1,3,Fixation,fixation,fixation,500.22000000000116,,,,,0,1,0,,,,,1,filler,helicopter--drawing-word.png,new.png
7,1618845288726,19/04/2021 15:14:48,1618845288670,1,19/04/2021 16:14:48,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,10,2,1,OldNew,new,response_button_image,1941.2349999765866,,,new.png,1,1,0,0,,,,,1,filler,beetle--photo.png,new.png
8,1618845289461,19/04/2021 15:14:49,1618845289370,1,19/04/2021 16:14:49,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,10,2,3,Fixation,fixation,fixation,500.21999999999935,,,,,0,1,0,,,,,1,filler,beetle--photo.png,new.png
9,1618845290884,19/04/2021 15:14:50,1618845290865,1,19/04/2021 16:14:50,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,18,3,1,OldNew,new,response_button_image,1454.4350000214763,,,new.png,1,1,0,0,,,,,1,filler,pitcher--photo-word.png,new.png
10,1618845291622,19/04/2021 15:14:51,1618845291571,1,19/04/2021 16:14:51,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,18,3,3,Fixation,fixation,fixation,500.22000000000116,,,,,0,1,0,,,,,1,filler,pitcher--photo-word.png,new.png
11,1618845293400,19/04/2021 15:14:53,1618845293339,1,19/04/2021 16:14:53,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,5,4,1,OldNew,old,response_button_image,1716.8999999994412,,,old.png,1,0,1,0,,,,,1,filler,alligator--drawing.png,new.png
12,1618845295122,19/04/2021 15:14:55,1618845295097,1,19/04/2021 16:14:55,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,5,4,2,RFG,Zone1,response_button_image,1507.1799999568611,,,familiarity.png,1,0,1,0,,,,,1,filler,alligator--drawing.png,new.png
13,1618845295822,19/04/2021 15:14:55,1618845295790,1,19/04/2021 16:14:55,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,5,4,3,Fixation,fixation,fixation,500.22000000000116,,,,,0,1,0,,,,,1,filler,alligator--drawing.png,new.png
14,1618845297954,19/04/2021 15:14:57,1618845297934,1,19/04/2021 16:14:57,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,9,5,1,OldNew,new,response_button_image,2112.044999958016,,,new.png,1,1,0,0,,,,,1,filler,chisel--photo.png,new.png
15,1618845298704,19/04/2021 15:14:58,1618845298641,1,19/04/2021 16:14:58,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,9,5,3,Fixation,fixation,fixation,500.22000000000116,,,,,0,1,0,,,,,1,filler,chisel--photo.png,new.png
16,1618845299891,19/04/2021 15:14:59,1618845299844,1,19/04/2021 16:14:59,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,17,6,1,OldNew,new,response_button_image,1165.999999968335,,,new.png,1,1,0,0,,,,,1,filler,vest--photo-word.png,new.png
17,1618845300616,19/04/2021 15:15:00,1618845300544,1,19/04/2021 16:15:00,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,17,6,3,Fixation,fixation,fixation,500.22000000000116,,,,,0,1,0,,,,,1,filler,vest--photo-word.png,new.png
18,1618845302526,19/04/2021 15:15:02,1618845302507,1,19/04/2021 16:15:02,47727,7,task-hnun,,12017049,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,Orange.Blue Test,3,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,orange.blue__test,orange.blue__test,14,7,1,OldNew,new,response_button_image,1910.5649999692105,,,new.png,1,1,0,0,,,,,1,filler,toothbrush--drawing-word.png,new.png
