Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
1,1618909307554,20/04/2021 09:01:47,1618909308932,1,20/04/2021 10:01:48,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x722,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1618909308706,20/04/2021 09:01:48,1618909310086,1,20/04/2021 10:01:50,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x722,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,1,1,1,check,script,force_advance,1148.3079999999998,,,,,0,1,0,,,,,,fullscreen_check,,
3,1618909309164,20/04/2021 09:01:49,1618909310580,1,20/04/2021 10:01:50,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,2,1,1,Screen 1,fixation,fixation,499.23600000000033,,,,,0,1,0,,,,,,fixation,,
4,1618909312320,20/04/2021 09:01:52,1618909313760,1,20/04/2021 10:01:53,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,9,1,1,OldNew,new,response_button_image,3087.215000006836,,,new.png,1,1,0,0,,,,,1,filler,chisel--photo.png,new.png
5,1618909313015,20/04/2021 09:01:53,1618909314457,1,20/04/2021 10:01:54,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,9,1,3,Fixation,fixation,fixation,499.3860000000004,,,,,0,1,0,,,,,1,filler,chisel--photo.png,new.png
6,1618909314916,20/04/2021 09:01:54,1618909316345,1,20/04/2021 10:01:56,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,10,2,1,OldNew,old,response_button_image,1827.8500000014901,,,old.png,1,0,1,0,,,,,1,filler,beetle--photo.png,new.png
7,1618909320134,20/04/2021 09:02:00,1618909321575,1,20/04/2021 10:02:01,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,10,2,2,RFG,Zone1,response_button_image,4978.655000013532,,,familiarity.png,1,0,1,0,,,,,1,filler,beetle--photo.png,new.png
8,1618909320822,20/04/2021 09:02:00,1618909322278,1,20/04/2021 10:02:02,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,10,2,3,Fixation,fixation,fixation,499.3719999999994,,,,,0,1,0,,,,,1,filler,beetle--photo.png,new.png
9,1618909322689,20/04/2021 09:02:02,1618909324144,1,20/04/2021 10:02:04,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,3,3,1,OldNew,old,response_button_image,1805.37000001641,,,old.png,1,0,1,0,,,,,1,filler,butterfly--drawing.png,new.png
10,1618909323779,20/04/2021 09:02:03,1618909325232,1,20/04/2021 10:02:05,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,3,3,2,RFG,Zone1,response_button_image,851.299999980256,,,familiarity.png,1,0,1,0,,,,,1,filler,butterfly--drawing.png,new.png
11,1618909324498,20/04/2021 09:02:04,1618909325938,1,20/04/2021 10:02:05,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,3,3,3,Fixation,fixation,fixation,499.3299999999981,,,,,0,1,0,,,,,1,filler,butterfly--drawing.png,new.png
12,1618909326303,20/04/2021 09:02:06,1618909327758,1,20/04/2021 10:02:07,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,11,4,1,OldNew,old,response_button_image,1769.3250000011176,,,old.png,1,0,1,0,,,,,1,filler,lightbulb--drawing-word.png,new.png
13,1618909327523,20/04/2021 09:02:07,1618909328969,1,20/04/2021 10:02:08,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,11,4,2,RFG,Zone1,response_button_image,964.5799999998417,,,familiarity.png,1,0,1,0,,,,,1,filler,lightbulb--drawing-word.png,new.png
14,1618909328233,20/04/2021 09:02:08,1618909329666,1,20/04/2021 10:02:09,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,11,4,3,Fixation,fixation,fixation,499.53900000000067,,,,,0,1,0,,,,,1,filler,lightbulb--drawing-word.png,new.png
15,1618909331006,20/04/2021 09:02:11,1618909332444,1,20/04/2021 10:02:12,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,8,5,1,OldNew,new,response_button_image,2728.899999987334,,,new.png,1,1,0,0,,,,,1,filler,bicycle--photo.png,new.png
16,1618909331699,20/04/2021 09:02:11,1618909333142,1,20/04/2021 10:02:13,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,8,5,3,Fixation,fixation,fixation,498.8230000000003,,,,,0,1,0,,,,,1,filler,bicycle--photo.png,new.png
17,1618909333750,20/04/2021 09:02:13,1618909335098,1,20/04/2021 10:02:15,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,6,6,1,OldNew,new,response_button_image,1912.1549999981653,,,new.png,1,1,0,0,,,,,1,filler,desk--drawing.png,new.png
18,1618909334360,20/04/2021 09:02:14,1618909335806,1,20/04/2021 10:02:15,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,6,6,3,Fixation,fixation,fixation,499.15699999999924,,,,,0,1,0,,,,,1,filler,desk--drawing.png,new.png
19,1618909335822,20/04/2021 09:02:15,1618909337252,1,20/04/2021 10:02:17,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,4,7,1,OldNew,old,response_button_image,1392.6450000144541,,,old.png,1,0,1,0,,,,,1,filler,strawberry--drawing.png,new.png
20,1618909345435,20/04/2021 09:02:25,1618909346885,1,20/04/2021 10:02:26,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,4,7,2,RFG,Zone1,response_button_image,9398.654999997234,,,familiarity.png,1,0,1,0,,,,,1,filler,strawberry--drawing.png,new.png
21,1618909346138,20/04/2021 09:02:26,1618909347587,1,20/04/2021 10:02:27,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,4,7,3,Fixation,fixation,fixation,499.1389999999956,,,,,0,1,0,,,,,1,filler,strawberry--drawing.png,new.png
22,1618909348158,20/04/2021 09:02:28,1618909349608,1,20/04/2021 10:02:29,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,7,8,1,OldNew,old,response_button_image,1971.480000007432,,,old.png,1,0,1,0,,,,,1,filler,hand--photo.png,new.png
23,1618909349440,20/04/2021 09:02:29,1618909350880,1,20/04/2021 10:02:30,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,7,8,2,RFG,Zone1,response_button_image,1018.5399999900255,,,familiarity.png,1,0,1,0,,,,,1,filler,hand--photo.png,new.png
24,1618909350139,20/04/2021 09:02:30,1618909351581,1,20/04/2021 10:02:31,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,7,8,3,Fixation,fixation,fixation,499.35599999999977,,,,,0,1,0,,,,,1,filler,hand--photo.png,new.png
25,1618909351736,20/04/2021 09:02:31,1618909353187,1,20/04/2021 10:02:33,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,12,9,1,OldNew,old,response_button_image,1551.7150000086986,,,old.png,1,0,1,0,,,,,1,filler,helicopter--drawing-word.png,new.png
26,1618909352580,20/04/2021 09:02:32,1618909354032,1,20/04/2021 10:02:34,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,12,9,2,RFG,Zone1,response_button_image,601.8650000041816,,,familiarity.png,1,0,1,0,,,,,1,filler,helicopter--drawing-word.png,new.png
27,1618909353284,20/04/2021 09:02:33,1618909354725,1,20/04/2021 10:02:34,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,12,9,3,Fixation,fixation,fixation,499.38300000000163,,,,,0,1,0,,,,,1,filler,helicopter--drawing-word.png,new.png
28,1618909356942,20/04/2021 09:02:36,1618909358357,1,20/04/2021 10:02:38,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,5,10,1,OldNew,new,response_button_image,3585.2799999993294,,,new.png,1,1,0,0,,,,,1,filler,alligator--drawing.png,new.png
29,1618909357629,20/04/2021 09:02:37,1618909359068,1,20/04/2021 10:02:39,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,5,10,3,Fixation,fixation,fixation,499.362000000001,,,,,0,1,0,,,,,1,filler,alligator--drawing.png,new.png
30,1618909358895,20/04/2021 09:02:38,1618909360338,1,20/04/2021 10:02:40,47727,7,task-eo3t,,12029861,14398,3639001,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1536x864,1536x864,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,18,11,1,OldNew,new,response_button_image,1224.015000014333,,,new.png,1,1,0,0,,,,,1,filler,pitcher--photo-word.png,new.png
