Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
19,1617465105398,03/04/2021 15:51:45,1617465105635,1,03/04/2021 16:51:45,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,5,7,1,fixation,fixation,fixation,500.14800000000105,,,,,0,1,0,,,,,2,teal.study__pics.word,drawingplusword.png,snake--drawing-word.png
20,1617465107430,03/04/2021 15:51:47,1617465107694,1,03/04/2021 16:51:47,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,5,7,2,study_stim,Zone2,response_button_image,2036.4650000119582,,,drawingplusword.png,1,1,0,0,,,,,2,teal.study__pics.word,drawingplusword.png,snake--drawing-word.png
21,1617465108366,03/04/2021 15:51:48,1617465108619,1,03/04/2021 16:51:48,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,34,8,1,fixation,fixation,fixation,499.91999999999825,,,,,0,1,0,,,,,2,teal.study__pics.word,photoplusword.png,pencil--photo-word.png
22,1617465109946,03/04/2021 15:51:49,1617465110071,1,03/04/2021 16:51:50,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,34,8,2,study_stim,Zone1,response_button_image,1424.2749999975786,,,photoplusword.png,1,1,0,0,,,,,2,teal.study__pics.word,photoplusword.png,pencil--photo-word.png
23,1617465110728,03/04/2021 15:51:50,1617465110985,1,03/04/2021 16:51:50,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,33,9,1,fixation,fixation,fixation,500.09000000000015,,,,,0,1,0,,,,,2,teal.study__pics.word,photoplusword.png,brush--photo-word.png
24,1617465111908,03/04/2021 15:51:51,1617465112166,1,03/04/2021 16:51:52,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,33,9,2,study_stim,Zone1,response_button_image,1152.2000000113621,,,photoplusword.png,1,1,0,0,,,,,2,teal.study__pics.word,photoplusword.png,brush--photo-word.png
25,1617465112835,03/04/2021 15:51:52,1617465113085,1,03/04/2021 16:51:53,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,13,10,1,fixation,fixation,fixation,500.0619999999981,,,,,0,1,0,,,,,2,teal.study__pics.word,drawingplusword.png,bear--drawing-word.png
26,1617465116507,03/04/2021 15:51:56,1617465116774,1,03/04/2021 16:51:56,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,13,10,2,study_stim,Zone2,response_button_image,3650.8950000279583,,,drawingplusword.png,1,1,0,0,,,,,2,teal.study__pics.word,drawingplusword.png,bear--drawing-word.png
27,1617465117446,03/04/2021 15:51:57,1617465117702,1,03/04/2021 16:51:57,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,10,11,1,fixation,fixation,fixation,499.9320000000007,,,,,0,1,0,,,,,2,teal.study__pics.word,drawingplusword.png,snowman--drawing-word.png
28,1617465119706,03/04/2021 15:51:59,1617465119822,1,03/04/2021 16:51:59,47727,6,task-eia6,,11625442,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.word,4,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.word,teal.study__pics.word,10,11,2,study_stim,Zone2,response_button_image,2094.8349999962375,,,drawingplusword.png,1,1,0,0,,,,,2,teal.study__pics.word,drawingplusword.png,snowman--drawing-word.png
