Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
1,1619171403193,23/04/2021 09:50:03,1619171398637,1,23/04/2021 10:49:58,47727,10,task-tmr7,,12130229,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x610,Test finished,Yellow.Purple Test,3,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,yellow.purple__test,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1619171404655,23/04/2021 09:50:04,1619171400026,1,23/04/2021 10:50:00,47727,10,task-tmr7,,12130229,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x610,Test finished,Yellow.Purple Test,3,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,yellow.purple__test,yellow.purple__test,1,1,1,check,script,force_advance,1383.1390000000001,,,,,0,1,0,,,,,,fullscreen_check,,
3,1619171405045,23/04/2021 09:50:05,1619171400514,1,23/04/2021 10:50:00,47727,10,task-tmr7,,12130229,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,Yellow.Purple Test,3,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,yellow.purple__test,yellow.purple__test,2,1,1,Screen 1,fixation,fixation,499.9449999999997,,,,,0,1,0,,,,,,fixation,,
4,1619171410413,23/04/2021 09:50:10,1619171405771,1,23/04/2021 10:50:05,47727,10,task-tmr7,,12130229,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,Yellow.Purple Test,3,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,yellow.purple__test,yellow.purple__test,14,1,1,OldNew,new,response_button_image,5152.195000089705,,,new.png,1,1,0,0,,,,,1,filler,toothbrush--drawing-word.png,new.png
5,1619171410960,23/04/2021 09:50:10,1619171406464,1,23/04/2021 10:50:06,47727,10,task-tmr7,,12130229,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,Yellow.Purple Test,3,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,yellow.purple__test,yellow.purple__test,14,1,3,Fixation,fixation,fixation,499.46200000000135,,,,,0,1,0,,,,,1,filler,toothbrush--drawing-word.png,new.png
6,1619171412663,23/04/2021 09:50:12,1619171408080,1,23/04/2021 10:50:08,47727,10,task-tmr7,,12130229,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,Yellow.Purple Test,3,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,yellow.purple__test,yellow.purple__test,15,2,1,OldNew,old,response_button_image,1567.5650001503527,,,old.png,1,0,1,0,,,,,1,filler,dresser--photo-word.png,new.png
7,1619171413923,23/04/2021 09:50:13,1619171409409,1,23/04/2021 10:50:09,47727,10,task-tmr7,,12130229,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,Yellow.Purple Test,3,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,yellow.purple__test,yellow.purple__test,15,2,2,RFG,old,response_button_image,1085.3049997240305,,,recollection.png,1,0,1,0,,,,,1,filler,dresser--photo-word.png,new.png
8,1619171414615,23/04/2021 09:50:14,1619171410113,1,23/04/2021 10:50:10,47727,10,task-tmr7,,12130229,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,Yellow.Purple Test,3,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,yellow.purple__test,yellow.purple__test,15,2,3,Fixation,fixation,fixation,499.96500000000015,,,,,0,1,0,,,,,1,filler,dresser--photo-word.png,new.png
9,1619171416744,23/04/2021 09:50:16,1619171412118,1,23/04/2021 10:50:12,47727,10,task-tmr7,,12130229,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,Yellow.Purple Test,3,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,yellow.purple__test,yellow.purple__test,10,3,1,OldNew,new,response_button_image,1942.2299996949732,,,new.png,1,1,0,0,,,,,1,filler,beetle--photo.png,new.png
10,1619171417338,23/04/2021 09:50:17,1619171412814,1,23/04/2021 10:50:12,47727,10,task-tmr7,,12130229,14137,3661945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1280x720,1280x720,Test finished,Yellow.Purple Test,3,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order1,,purple.order1__finished,,,,yellow.purple__test,yellow.purple__test,10,3,3,Fixation,fixation,fixation,499.91300000000047,,,,,0,1,0,,,,,1,filler,beetle--photo.png,new.png
