Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
1,1584279370475,15/03/2020 13:36:10,1584279371704,0,15/03/2020 13:36:11,10169,123,task-xfoj,,4167975,14155,1179199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1280x720,1280x610,Test_Checkpoint,M-1. RFG_B_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1584279372224,15/03/2020 13:36:12,1584279373448,0,15/03/2020 13:36:13,10169,123,task-xfoj,,4167975,14155,1179199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1280x720,1280x610,Test_Checkpoint,M-1. RFG_B_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,test_B_col_spreadsheet,1,1,1,check,script,force_advance,1733.163,,,,0,1,0,,,,,,fullscreen_check,,
3,1584279372663,15/03/2020 13:36:12,1584279373938,0,15/03/2020 13:36:13,10169,123,task-xfoj,,4167975,14155,1179199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1280x720,1280x720,Test_Checkpoint,M-1. RFG_B_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,test_B_col_spreadsheet,2,1,1,Screen 1,fixation,fixation,499.88499999999976,,,,0,1,0,,,,,,fixation,,
4,1584279374474,15/03/2020 13:36:14,1584279375752,0,15/03/2020 13:36:15,10169,123,task-xfoj,,4167975,14155,1179199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1280x720,1280x720,Test_Checkpoint,M-1. RFG_B_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,test_B_col_spreadsheet,9,1,1,OldNew,old,response_button_image,1771.2400001473725,,old.png,1,0,1,0,,,,,1,filler,word_chisel.png,new.png
5,1584279376177,15/03/2020 13:36:16,1584279377449,0,15/03/2020 13:36:17,10169,123,task-xfoj,,4167975,14155,1179199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1280x720,1280x720,Test_Checkpoint,M-1. RFG_B_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,test_B_col_spreadsheet,9,1,2,RFG,old,response_button_image,1510.4649998247623,,recollection.png,1,0,1,0,,,,,1,filler,word_chisel.png,new.png
6,1584279376865,15/03/2020 13:36:16,1584279378120,0,15/03/2020 13:36:18,10169,123,task-xfoj,,4167975,14155,1179199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1280x720,1280x720,Test_Checkpoint,M-1. RFG_B_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,test_B_col_spreadsheet,9,1,3,Fixation,fixation,fixation,499.96699999999964,,,,0,1,0,,,,,1,filler,word_chisel.png,new.png
7,1584279378037,15/03/2020 13:36:18,1584279379320,0,15/03/2020 13:36:19,10169,123,task-xfoj,,4167975,14155,1179199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1280x720,1280x720,Test_Checkpoint,M-1. RFG_B_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,test_B_col_spreadsheet,5,2,1,OldNew,old,response_button_image,1163.240000139922,,old.png,1,0,1,0,,,,,1,filler,col_line_turtle.png,new.png
8,1584279379288,15/03/2020 13:36:19,1584279380566,0,15/03/2020 13:36:20,10169,123,task-xfoj,,4167975,14155,1179199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1280x720,1280x720,Test_Checkpoint,M-1. RFG_B_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,test_B_col_spreadsheet,5,2,2,RFG,old,response_button_image,1089.6650003269315,,recollection.png,1,0,1,0,,,,,1,filler,col_line_turtle.png,new.png
9,1584279379960,15/03/2020 13:36:19,1584279381236,0,15/03/2020 13:36:21,10169,123,task-xfoj,,4167975,14155,1179199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1280x720,1280x720,Test_Checkpoint,M-1. RFG_B_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,test_B_col_spreadsheet,5,2,3,Fixation,fixation,fixation,499.95900000000074,,,,0,1,0,,,,,1,filler,col_line_turtle.png,new.png
10,1584279383076,15/03/2020 13:36:23,1584279384361,0,15/03/2020 13:36:24,10169,123,task-xfoj,,4167975,14155,1179199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1280x720,1280x720,Test_Checkpoint,M-1. RFG_B_COL,2,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,test_B_col_spreadsheet,6,3,1,OldNew,new,response_button_image,3085.64000017941,,new.png,1,1,0,0,,,,,1,filler,col_photo_bicycle1.png,new.png
