Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,question,ShowProgressBar,ans1,ans2,ans3,ans4,correct,total,incorrect,Formatted-answer
43,1601632297394,02/10/2020 09:51:37,1601632081761,-6,02/10/2020 03:48:01,10169,131,task-6btb,,7046260,5f6c8d74133bba03216c7bb8,2038865,,complete,,5f76f58bc940481a1f7fefba,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,11,14,2,Incorrect,Zone7,timelimit_screen,1000.060000000005,,,,0,1,0,,,1,,1,MathQ,48,<h4>6 x 8 =</h4>,1,48,42,54,52,correct_1,total_1,incorrect_1,<h4>48</h4>
44,1601632297863,02/10/2020 09:51:37,1601632081800,-6,02/10/2020 03:48:01,10169,131,task-6btb,,7046260,5f6c8d74133bba03216c7bb8,2038865,,complete,,5f76f58bc940481a1f7fefba,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,11,14,4,Blank,Zone1,timelimit_screen,33.33999999999651,,,,0,1,0,,,1,,1,MathQ,48,<h4>6 x 8 =</h4>,1,48,42,54,52,correct_1,total_1,incorrect_1,<h4>48</h4>
45,1601632299178,02/10/2020 09:51:39,1601632083601,-6,02/10/2020 03:48:03,10169,131,task-6btb,,7046260,5f6c8d74133bba03216c7bb8,2038865,,complete,,5f76f58bc940481a1f7fefba,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,2,15,1,Questions,buttonA,response_button_text,1681,,18,1,1,0,0,,,,,1,MathQ,18,<h4>3 x 6 =</h4>,1,18,16,17,19,correct_1,total_1,incorrect_1,<h3>18</h3>
46,1601632300320,02/10/2020 09:51:40,1601632084593,-6,02/10/2020 03:48:04,10169,131,task-6btb,,7046260,5f6c8d74133bba03216c7bb8,2038865,,complete,,5f76f58bc940481a1f7fefba,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,2,15,3,Correct,Zone7,timelimit_screen,1000.0400000000009,,,,0,1,0,,,1,,1,MathQ,18,<h4>3 x 6 =</h4>,1,18,16,17,19,correct_1,total_1,incorrect_1,<h3>18</h3>
47,1601632300851,02/10/2020 09:51:40,1601632084621,-6,02/10/2020 03:48:04,10169,131,task-6btb,,7046260,5f6c8d74133bba03216c7bb8,2038865,,complete,,5f76f58bc940481a1f7fefba,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,2,15,4,Blank,Zone1,timelimit_screen,16.68000000000029,,,,0,1,0,,,1,,1,MathQ,18,<h4>3 x 6 =</h4>,1,18,16,17,19,correct_1,total_1,incorrect_1,<h3>18</h3>
48,1601632301893,02/10/2020 09:51:41,1601632086274,-6,02/10/2020 03:48:06,10169,131,task-6btb,,7046260,5f6c8d74133bba03216c7bb8,2038865,,complete,,5f76f58bc940481a1f7fefba,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,19,16,1,Questions,buttonA,response_button_text,1512,,30,1,1,0,0,,,,,1,MathQ,30,<h4>6 x 5 =</h4>,1,30,25,35,40,correct_1,total_1,incorrect_1,<h4>30</h4>
49,1601632302897,02/10/2020 09:51:42,1601632087276,-6,02/10/2020 03:48:07,10169,131,task-6btb,,7046260,5f6c8d74133bba03216c7bb8,2038865,,complete,,5f76f58bc940481a1f7fefba,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,19,16,3,Correct,Zone7,timelimit_screen,1000.0599999999977,,,,0,1,0,,,1,,1,MathQ,30,<h4>6 x 5 =</h4>,1,30,25,35,40,correct_1,total_1,incorrect_1,<h4>30</h4>
50,1601632303443,02/10/2020 09:51:43,1601632087304,-6,02/10/2020 03:48:07,10169,131,task-6btb,,7046260,5f6c8d74133bba03216c7bb8,2038865,,complete,,5f76f58bc940481a1f7fefba,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,19,16,4,Blank,Zone1,timelimit_screen,16.659999999996217,,,,0,1,0,,,1,,1,MathQ,30,<h4>6 x 5 =</h4>,1,30,25,35,40,correct_1,total_1,incorrect_1,<h4>30</h4>
51,1601632304493,02/10/2020 09:51:44,1601632088913,-6,02/10/2020 03:48:08,10169,131,task-6btb,,7046260,5f6c8d74133bba03216c7bb8,2038865,,complete,,5f76f58bc940481a1f7fefba,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,12,17,1,Questions,buttonA,response_button_text,1482,,27,1,1,0,0,,,,,1,MathQ,27,<h4>9 x 3 =</h4>,1,27,21,30,28,correct_1,total_1,incorrect_1,<h4>27</h4>
52,1601632305497,02/10/2020 09:51:45,1601632089908,-6,02/10/2020 03:48:09,10169,131,task-6btb,,7046260,5f6c8d74133bba03216c7bb8,2038865,,complete,,5f76f58bc940481a1f7fefba,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,12,17,3,Correct,Zone7,timelimit_screen,1000.0400000000009,,,,0,1,0,,,1,,1,MathQ,27,<h4>9 x 3 =</h4>,1,27,21,30,28,correct_1,total_1,incorrect_1,<h4>27</h4>
53,1601632306107,02/10/2020 09:51:46,1601632089926,-6,02/10/2020 03:48:09,10169,131,task-6btb,,7046260,5f6c8d74133bba03216c7bb8,2038865,,complete,,5f76f58bc940481a1f7fefba,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,12,17,4,Blank,Zone1,timelimit_screen,16.68000000000029,,,,0,1,0,,,1,,1,MathQ,27,<h4>9 x 3 =</h4>,1,27,21,30,28,correct_1,total_1,incorrect_1,<h4>27</h4>
54,1601632308175,02/10/2020 09:51:48,1601632092610,-6,02/10/2020 03:48:12,10169,131,task-6btb,,7046260,5f6c8d74133bba03216c7bb8,2038865,,complete,,5f76f58bc940481a1f7fefba,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,18,18,1,Questions,buttonA,response_button_text,2610,,24,1,1,0,0,,,,,1,MathQ,24,<h4>8 x 3 =</h4>,1,24,26,22,23,correct_1,total_1,incorrect_1,<h4>24</h4>
55,1601632309317,02/10/2020 09:51:49,1601632093613,-6,02/10/2020 03:48:13,10169,131,task-6btb,,7046260,5f6c8d74133bba03216c7bb8,2038865,,complete,,5f76f58bc940481a1f7fefba,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,18,18,3,Correct,Zone7,timelimit_screen,1000.0599999999977,,,,0,1,0,,,1,,1,MathQ,24,<h4>8 x 3 =</h4>,1,24,26,22,23,correct_1,total_1,incorrect_1,<h4>24</h4>
56,1601632309831,02/10/2020 09:51:49,1601632093641,-6,02/10/2020 03:48:13,10169,131,task-6btb,,7046260,5f6c8d74133bba03216c7bb8,2038865,,complete,,5f76f58bc940481a1f7fefba,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,18,18,4,Blank,Zone1,timelimit_screen,16.660000000003492,,,,0,1,0,,,1,,1,MathQ,24,<h4>8 x 3 =</h4>,1,24,26,22,23,correct_1,total_1,incorrect_1,<h4>24</h4>
57,1601632312260,02/10/2020 09:51:52,1601632096697,-6,02/10/2020 03:48:16,10169,131,task-6btb,,7046260,5f6c8d74133bba03216c7bb8,2038865,,complete,,5f76f58bc940481a1f7fefba,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,15,19,1,Questions,buttonA,response_button_text,2955,,32,1,1,0,0,,,,,1,MathQ,32,<h4>4 x 8 =</h4>,1,32,36,24,28,correct_1,total_1,incorrect_1,<h4>32</h4>
