Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,question,ShowProgressBar,ans1,ans2,ans3,ans4,correct,total,incorrect,Formatted-answer
24,1601548475335,01/10/2020 10:34:35,1601548474972,1,01/10/2020 11:34:34,10169,131,task-qbcg,,7030829,5f02fe1fa48166491bb57c83,2033372,,complete,,5f75af7fcfaa7223aa4209e0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,18,8,1,Questions,buttonA,response_button_text,1781.574999971781,,24,1,1,0,0,,,,,1,MathQ,24,<h4>8 x 3 =</h4>,1,24,26,22,23,correct_1,total_1,incorrect_1,<h4>24</h4>
25,1601548476071,01/10/2020 10:34:36,1601548475965,1,01/10/2020 11:34:35,10169,131,task-qbcg,,7030829,5f02fe1fa48166491bb57c83,2033372,,complete,,5f75af7fcfaa7223aa4209e0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,18,8,3,Correct,Zone7,timelimit_screen,999.7380000000048,,,,0,1,0,,,1,,1,MathQ,24,<h4>8 x 3 =</h4>,1,24,26,22,23,correct_1,total_1,incorrect_1,<h4>24</h4>
26,1601548476212,01/10/2020 10:34:36,1601548475982,1,01/10/2020 11:34:35,10169,131,task-qbcg,,7030829,5f02fe1fa48166491bb57c83,2033372,,complete,,5f75af7fcfaa7223aa4209e0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,18,8,4,Blank,Zone1,timelimit_screen,16.60399999999936,,,,0,1,0,,,1,,1,MathQ,24,<h4>8 x 3 =</h4>,1,24,26,22,23,correct_1,total_1,incorrect_1,<h4>24</h4>
27,1601548477386,01/10/2020 10:34:37,1601548477285,1,01/10/2020 11:34:37,10169,131,task-qbcg,,7030829,5f02fe1fa48166491bb57c83,2033372,,complete,,5f75af7fcfaa7223aa4209e0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,7,9,1,Questions,buttonA,response_button_text,1202.67500000773,,49,1,1,0,0,,,,,1,MathQ,49,<h4>7 x 7 = </h4>,1,49,56,42,47,correct_1,total_1,incorrect_1,<h4>49</h4>
28,1601548478389,01/10/2020 10:34:38,1601548478281,1,01/10/2020 11:34:38,10169,131,task-qbcg,,7030829,5f02fe1fa48166491bb57c83,2033372,,complete,,5f75af7fcfaa7223aa4209e0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,7,9,3,Correct,Zone7,timelimit_screen,1000.0179999999964,,,,0,1,0,,,1,,1,MathQ,49,<h4>7 x 7 = </h4>,1,49,56,42,47,correct_1,total_1,incorrect_1,<h4>49</h4>
29,1601548478499,01/10/2020 10:34:38,1601548478298,1,01/10/2020 11:34:38,10169,131,task-qbcg,,7030829,5f02fe1fa48166491bb57c83,2033372,,complete,,5f75af7fcfaa7223aa4209e0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,7,9,4,Blank,Zone1,timelimit_screen,16.419000000001688,,,,0,1,0,,,1,,1,MathQ,49,<h4>7 x 7 = </h4>,1,49,56,42,47,correct_1,total_1,incorrect_1,<h4>49</h4>
30,1601548482711,01/10/2020 10:34:42,1601548482614,1,01/10/2020 11:34:42,10169,131,task-qbcg,,7030829,5f02fe1fa48166491bb57c83,2033372,,complete,,5f75af7fcfaa7223aa4209e0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,11,10,1,Questions,buttonA,response_button_text,4221.900000004098,,48,1,1,0,0,,,,,1,MathQ,48,<h4>6 x 8 =</h4>,1,48,42,54,52,correct_1,total_1,incorrect_1,<h4>48</h4>
31,1601548483711,01/10/2020 10:34:43,1601548483598,1,01/10/2020 11:34:43,10169,131,task-qbcg,,7030829,5f02fe1fa48166491bb57c83,2033372,,complete,,5f75af7fcfaa7223aa4209e0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,11,10,3,Correct,Zone7,timelimit_screen,1000.262999999999,,,,0,1,0,,,1,,1,MathQ,48,<h4>6 x 8 =</h4>,1,48,42,54,52,correct_1,total_1,incorrect_1,<h4>48</h4>
32,1601548483820,01/10/2020 10:34:43,1601548483616,1,01/10/2020 11:34:43,10169,131,task-qbcg,,7030829,5f02fe1fa48166491bb57c83,2033372,,complete,,5f75af7fcfaa7223aa4209e0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,11,10,4,Blank,Zone1,timelimit_screen,16.370999999999185,,,,0,1,0,,,1,,1,MathQ,48,<h4>6 x 8 =</h4>,1,48,42,54,52,correct_1,total_1,incorrect_1,<h4>48</h4>
33,1601548487289,01/10/2020 10:34:47,1601548487167,1,01/10/2020 11:34:47,10169,131,task-qbcg,,7030829,5f02fe1fa48166491bb57c83,2033372,,complete,,5f75af7fcfaa7223aa4209e0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,19,11,1,Questions,buttonA,response_button_text,3454.830000002403,,30,1,1,0,0,,,,,1,MathQ,30,<h4>6 x 5 =</h4>,1,30,25,35,40,correct_1,total_1,incorrect_1,<h4>30</h4>
34,1601548488548,01/10/2020 10:34:48,1601548488165,1,01/10/2020 11:34:48,10169,131,task-qbcg,,7030829,5f02fe1fa48166491bb57c83,2033372,,complete,,5f75af7fcfaa7223aa4209e0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,19,11,3,Correct,Zone7,timelimit_screen,1000.1180000000022,,,,0,1,0,,,1,,1,MathQ,30,<h4>6 x 5 =</h4>,1,30,25,35,40,correct_1,total_1,incorrect_1,<h4>30</h4>
35,1601548488626,01/10/2020 10:34:48,1601548488182,1,01/10/2020 11:34:48,10169,131,task-qbcg,,7030829,5f02fe1fa48166491bb57c83,2033372,,complete,,5f75af7fcfaa7223aa4209e0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,19,11,4,Blank,Zone1,timelimit_screen,16.35099999999511,,,,0,1,0,,,1,,1,MathQ,30,<h4>6 x 5 =</h4>,1,30,25,35,40,correct_1,total_1,incorrect_1,<h4>30</h4>
36,1601548490266,01/10/2020 10:34:50,1601548490154,1,01/10/2020 11:34:50,10169,131,task-qbcg,,7030829,5f02fe1fa48166491bb57c83,2033372,,complete,,5f75af7fcfaa7223aa4209e0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,12,12,1,Questions,buttonA,response_button_text,1867.3650000127964,,27,1,1,0,0,,,,,1,MathQ,27,<h4>9 x 3 =</h4>,1,27,21,30,28,correct_1,total_1,incorrect_1,<h4>27</h4>
