Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,question,ShowProgressBar,ans1,ans2,ans3,ans4,correct,total,incorrect,Formatted-answer
22,1591781054521,10/06/2020 09:24:14,1591781053257,1,10/06/2020 10:24:13,10169,127,task-25t9,,5543205,5e52d8d831127d2fe77d9a4d,1544993,,complete,,5ee0a5081d622e03a1368e2f,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,Distractor__Spreadsheet,5,7,3,Correct,Zone7,timelimit_screen,1006.2983999999997,,,,0,1,0,,,1,,1,MathQ,40,<h4>8 x 5 =</h4>,1,40,45,35,50,correct_1,total_1,incorrect_1,<h4>40</h4>
23,1591781054584,10/06/2020 09:24:14,1591781053273,1,10/06/2020 10:24:13,10169,127,task-25t9,,5543205,5e52d8d831127d2fe77d9a4d,1544993,,complete,,5ee0a5081d622e03a1368e2f,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,Distractor__Spreadsheet,5,7,4,Blank,Zone1,timelimit_screen,15.922599999998056,,,,0,1,0,,,1,,1,MathQ,40,<h4>8 x 5 =</h4>,1,40,45,35,50,correct_1,total_1,incorrect_1,<h4>40</h4>
24,1591781056382,10/06/2020 09:24:16,1591781055120,1,10/06/2020 10:24:15,10169,127,task-25t9,,5543205,5e52d8d831127d2fe77d9a4d,1544993,,complete,,5ee0a5081d622e03a1368e2f,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,Distractor__Spreadsheet,21,8,1,Questions,buttonA,response_button_text,1802.0999999999985,,40,1,1,0,0,,,,,1,MathQ,40,<h4>4 x 10 =</h4>,1,40,30,50,60,correct_1,total_1,incorrect_1,<h4>40</h4>
25,1591781057351,10/06/2020 09:24:17,1591781056100,1,10/06/2020 10:24:16,10169,127,task-25t9,,5543205,5e52d8d831127d2fe77d9a4d,1544993,,complete,,5ee0a5081d622e03a1368e2f,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,Distractor__Spreadsheet,21,8,3,Correct,Zone7,timelimit_screen,995.3041999999987,,,,0,1,0,,,1,,1,MathQ,40,<h4>4 x 10 =</h4>,1,40,30,50,60,correct_1,total_1,incorrect_1,<h4>40</h4>
26,1591781057429,10/06/2020 09:24:17,1591781056115,1,10/06/2020 10:24:16,10169,127,task-25t9,,5543205,5e52d8d831127d2fe77d9a4d,1544993,,complete,,5ee0a5081d622e03a1368e2f,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,Distractor__Spreadsheet,21,8,4,Blank,Zone1,timelimit_screen,15.693399999996473,,,,0,1,0,,,1,,1,MathQ,40,<h4>4 x 10 =</h4>,1,40,30,50,60,correct_1,total_1,incorrect_1,<h4>40</h4>
27,1591781063200,10/06/2020 09:24:23,1591781061946,1,10/06/2020 10:24:21,10169,127,task-25t9,,5543205,5e52d8d831127d2fe77d9a4d,1544993,,complete,,5ee0a5081d622e03a1368e2f,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,Distractor__Spreadsheet,11,9,1,Questions,buttonD,response_button_text,5781.200000000004,,52,1,0,1,0,,,,,1,MathQ,48,<h4>6 x 8 =</h4>,1,48,42,54,52,correct_1,total_1,incorrect_1,<h4>48</h4>
28,1591781064169,10/06/2020 09:24:24,1591781062929,1,10/06/2020 10:24:22,10169,127,task-25t9,,5543205,5e52d8d831127d2fe77d9a4d,1544993,,complete,,5ee0a5081d622e03a1368e2f,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,Distractor__Spreadsheet,11,9,2,Incorrect,Zone7,timelimit_screen,997.5459000000046,,,,0,1,0,,,1,,1,MathQ,48,<h4>6 x 8 =</h4>,1,48,42,54,52,correct_1,total_1,incorrect_1,<h4>48</h4>
29,1591781064247,10/06/2020 09:24:24,1591781062956,1,10/06/2020 10:24:22,10169,127,task-25t9,,5543205,5e52d8d831127d2fe77d9a4d,1544993,,complete,,5ee0a5081d622e03a1368e2f,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,Distractor__Spreadsheet,11,9,4,Blank,Zone1,timelimit_screen,23.875099999997474,,,,0,1,0,,,1,,1,MathQ,48,<h4>6 x 8 =</h4>,1,48,42,54,52,correct_1,total_1,incorrect_1,<h4>48</h4>
30,1591781083850,10/06/2020 09:24:43,1591781082591,1,10/06/2020 10:24:42,10169,127,task-25t9,,5543205,5e52d8d831127d2fe77d9a4d,1544993,,complete,,5ee0a5081d622e03a1368e2f,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,Distractor__Spreadsheet,7,10,1,Questions,buttonA,response_button_text,19584.799999999996,,49,1,1,0,0,,,,,1,MathQ,49,<h4>7 x 7 = </h4>,1,49,56,42,47,correct_1,total_1,incorrect_1,<h4>49</h4>
31,1591781084829,10/06/2020 09:24:44,1591781083577,1,10/06/2020 10:24:43,10169,127,task-25t9,,5543205,5e52d8d831127d2fe77d9a4d,1544993,,complete,,5ee0a5081d622e03a1368e2f,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,Distractor__Spreadsheet,7,10,3,Correct,Zone7,timelimit_screen,991.9818000000087,,,,0,1,0,,,1,,1,MathQ,49,<h4>7 x 7 = </h4>,1,49,56,42,47,correct_1,total_1,incorrect_1,<h4>49</h4>
32,1591781084907,10/06/2020 09:24:44,1591781083599,1,10/06/2020 10:24:43,10169,127,task-25t9,,5543205,5e52d8d831127d2fe77d9a4d,1544993,,complete,,5ee0a5081d622e03a1368e2f,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,Distractor__Spreadsheet,7,10,4,Blank,Zone1,timelimit_screen,19.767199999987497,,,,0,1,0,,,1,,1,MathQ,49,<h4>7 x 7 = </h4>,1,49,56,42,47,correct_1,total_1,incorrect_1,<h4>49</h4>
33,1591781088145,10/06/2020 09:24:48,1591781086901,1,10/06/2020 10:24:46,10169,127,task-25t9,,5543205,5e52d8d831127d2fe77d9a4d,1544993,,complete,,5ee0a5081d622e03a1368e2f,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,Distractor__Spreadsheet,3,11,1,Questions,buttonA,response_button_text,3253.699999999997,,18,1,1,0,0,,,,,1,MathQ,18,<h4>2 x 9 = </h4>,1,18,21,16,19,correct_1,total_1,incorrect_1,<h4>18</h4>
34,1591781089162,10/06/2020 09:24:49,1591781087898,1,10/06/2020 10:24:47,10169,127,task-25t9,,5543205,5e52d8d831127d2fe77d9a4d,1544993,,complete,,5ee0a5081d622e03a1368e2f,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1280x720,1280x720,Test_Checkpoint,F-2. Distractor__Task,26,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,Distractor__Spreadsheet,3,11,3,Correct,Zone7,timelimit_screen,998.9467000000004,,,,0,1,0,,,1,,1,MathQ,18,<h4>2 x 9 = </h4>,1,18,21,16,19,correct_1,total_1,incorrect_1,<h4>18</h4>
