Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
45,1601548371338,01/10/2020 10:32:51,1601548371043,1,01/10/2020 11:32:51,10169,131,task-zde5,,7030717,5f454bb7d70eb1104c862a6a,2033368,,complete,,5f75af7cc78e622377be8607,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,study_3_grey_spreadsheet,49,20,1,fixation,fixation,fixation,492.1470000000045,,,,0,1,0,,,,,2,study_3_grey,word.png,word_broom.png
46,1601548372604,01/10/2020 10:32:52,1601548372368,1,01/10/2020 11:32:52,10169,131,task-zde5,,7030717,5f454bb7d70eb1104c862a6a,2033368,,complete,,5f75af7cc78e622377be8607,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,study_3_grey_spreadsheet,49,20,2,stim_3_grey,buttonA,response_button_image,1313.1600000051549,,word.png,1,1,0,0,,,,,2,study_3_grey,word.png,word_broom.png
47,1601548373510,01/10/2020 10:32:53,1601548373293,1,01/10/2020 11:32:53,10169,131,task-zde5,,7030717,5f454bb7d70eb1104c862a6a,2033368,,complete,,5f75af7cc78e622377be8607,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,study_3_grey_spreadsheet,58,21,1,fixation,fixation,fixation,492.3839999999982,,,,0,1,0,,,,,2,study_3_grey,word.png,word_mouse.png
48,1601548375992,01/10/2020 10:32:55,1601548375784,1,01/10/2020 11:32:55,10169,131,task-zde5,,7030717,5f454bb7d70eb1104c862a6a,2033368,,complete,,5f75af7cc78e622377be8607,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,study_3_grey_spreadsheet,58,21,2,stim_3_grey,buttonA,response_button_image,2477.7699999976903,,word.png,1,1,0,0,,,,,2,study_3_grey,word.png,word_mouse.png
49,1601548376930,01/10/2020 10:32:56,1601548376705,1,01/10/2020 11:32:56,10169,131,task-zde5,,7030717,5f454bb7d70eb1104c862a6a,2033368,,complete,,5f75af7cc78e622377be8607,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,study_3_grey_spreadsheet,47,22,1,fixation,fixation,fixation,492.23399999999674,,,,0,1,0,,,,,2,study_3_grey,word.png,word_book.png
50,1601548377884,01/10/2020 10:32:57,1601548377669,1,01/10/2020 11:32:57,10169,131,task-zde5,,7030717,5f454bb7d70eb1104c862a6a,2033368,,complete,,5f75af7cc78e622377be8607,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,study_3_grey_spreadsheet,47,22,2,stim_3_grey,buttonA,response_button_image,953.2600000093225,,word.png,1,1,0,0,,,,,2,study_3_grey,word.png,word_book.png
51,1601548378821,01/10/2020 10:32:58,1601548378587,1,01/10/2020 11:32:58,10169,131,task-zde5,,7030717,5f454bb7d70eb1104c862a6a,2033368,,complete,,5f75af7cc78e622377be8607,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,study_3_grey_spreadsheet,42,23,1,fixation,fixation,fixation,492.2430000000022,,,,0,1,0,,,,,2,study_3_grey,photograph.png,grey_photo_snail3.png
52,1601548380198,01/10/2020 10:33:00,1601548379991,1,01/10/2020 11:32:59,10169,131,task-zde5,,7030717,5f454bb7d70eb1104c862a6a,2033368,,complete,,5f75af7cc78e622377be8607,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,study_3_grey_spreadsheet,42,23,2,stim_3_grey,buttonB,response_button_image,1377.5150000001304,,photograph.png,1,1,0,0,,,,,2,study_3_grey,photograph.png,grey_photo_snail3.png
53,1601548381120,01/10/2020 10:33:01,1601548380908,1,01/10/2020 11:33:00,10169,131,task-zde5,,7030717,5f454bb7d70eb1104c862a6a,2033368,,complete,,5f75af7cc78e622377be8607,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,study_3_grey_spreadsheet,56,24,1,fixation,fixation,fixation,492.3680000000022,,,,0,1,0,,,,,2,study_3_grey,word.png,word_iron.png
54,1601548382387,01/10/2020 10:33:02,1601548382177,1,01/10/2020 11:33:02,10169,131,task-zde5,,7030717,5f454bb7d70eb1104c862a6a,2033368,,complete,,5f75af7cc78e622377be8607,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,study_3_grey_spreadsheet,56,24,2,stim_3_grey,buttonA,response_button_image,1241.2699999986216,,word.png,1,1,0,0,,,,,2,study_3_grey,word.png,word_iron.png
55,1601548383450,01/10/2020 10:33:03,1601548383089,1,01/10/2020 11:33:03,10169,131,task-zde5,,7030717,5f454bb7d70eb1104c862a6a,2033368,,complete,,5f75af7cc78e622377be8607,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,study_3_grey_spreadsheet,61,25,1,fixation,fixation,fixation,492.3399999999965,,,,0,1,0,,,,,2,study_3_grey,word.png,word_stool.png
56,1601548384184,01/10/2020 10:33:04,1601548383973,1,01/10/2020 11:33:03,10169,131,task-zde5,,7030717,5f454bb7d70eb1104c862a6a,2033368,,complete,,5f75af7cc78e622377be8607,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,study_3_grey_spreadsheet,61,25,2,stim_3_grey,buttonA,response_button_image,873.3100000099512,,word.png,1,1,0,0,,,,,2,study_3_grey,word.png,word_stool.png
57,1601548385122,01/10/2020 10:33:05,1601548384898,1,01/10/2020 11:33:04,10169,131,task-zde5,,7030717,5f454bb7d70eb1104c862a6a,2033368,,complete,,5f75af7cc78e622377be8607,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,study_3_grey_spreadsheet,46,26,1,fixation,fixation,fixation,492.3319999999949,,,,0,1,0,,,,,2,study_3_grey,word.png,word_basket.png
58,1601548385918,01/10/2020 10:33:05,1601548385701,1,01/10/2020 11:33:05,10169,131,task-zde5,,7030717,5f454bb7d70eb1104c862a6a,2033368,,complete,,5f75af7cc78e622377be8607,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,study_3_grey_spreadsheet,46,26,2,stim_3_grey,buttonA,response_button_image,793.2699999946635,,word.png,1,1,0,0,,,,,2,study_3_grey,word.png,word_basket.png
59,1601548386840,01/10/2020 10:33:06,1601548386623,1,01/10/2020 11:33:06,10169,131,task-zde5,,7030717,5f454bb7d70eb1104c862a6a,2033368,,complete,,5f75af7cc78e622377be8607,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,study_3_grey_spreadsheet,5,27,1,fixation,fixation,fixation,492.8329999999987,,,,0,1,0,,,,,2,study_3_grey,line-drawing.png,grey_line_balloon.png
60,1601548388140,01/10/2020 10:33:08,1601548387901,1,01/10/2020 11:33:07,10169,131,task-zde5,,7030717,5f454bb7d70eb1104c862a6a,2033368,,complete,,5f75af7cc78e622377be8607,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x720,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,study_3_grey_spreadsheet,study_3_grey_spreadsheet,5,27,2,stim_3_grey,Zone1,response_button_image,1253.6199999885866,,line-drawing.png,1,1,0,0,,,,,2,study_3_grey,line-drawing.png,grey_line_balloon.png
