Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
173,1591587883765,08/06/2020 03:44:43,1591587882454,-5,07/06/2020 22:44:42,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,79,64,1,OldNew,old,response_button_image,1164.1549998894334,,old.png,1,0,1,0,,,,,2,test_A_grey,grey_photo_jacket2.png,new.png
174,1591587884421,08/06/2020 03:44:44,1591587883113,-5,07/06/2020 22:44:43,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,79,64,2,RFG,old,response_button_image,443.21500009391457,,recollection.png,1,0,1,0,,,,,2,test_A_grey,grey_photo_jacket2.png,new.png
175,1591587885124,08/06/2020 03:44:45,1591587883812,-5,07/06/2020 22:44:43,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,79,64,3,Fixation,fixation,fixation,500.1840000000084,,,,0,1,0,,,,,2,test_A_grey,grey_photo_jacket2.png,new.png
176,1591587886514,08/06/2020 03:44:46,1591587885209,-5,07/06/2020 22:44:45,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,128,65,1,OldNew,new,response_button_image,1383.975000004284,,new.png,1,1,0,0,,,,,2,test_A_grey,word_snail.png,new.png
177,1591587887217,08/06/2020 03:44:47,1591587885912,-5,07/06/2020 22:44:45,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,128,65,3,Fixation,fixation,fixation,500.2170000000042,,,,0,1,0,,,,,2,test_A_grey,word_snail.png,new.png
178,1591587888272,08/06/2020 03:44:48,1591587886964,-5,07/06/2020 22:44:46,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,59,66,1,OldNew,old,response_button_image,1038.3750000037253,,old.png,1,0,1,0,,,,,2,test_A_grey,grey_photo_bell1.png,new.png
179,1591587888975,08/06/2020 03:44:48,1591587887673,-5,07/06/2020 22:44:47,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,59,66,2,RFG,old,response_button_image,484.0250000124797,,recollection.png,1,0,1,0,,,,,2,test_A_grey,grey_photo_bell1.png,new.png
180,1591587889680,08/06/2020 03:44:49,1591587888362,-5,07/06/2020 22:44:48,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,59,66,3,Fixation,fixation,fixation,499.88000000000466,,,,0,1,0,,,,,2,test_A_grey,grey_photo_bell1.png,new.png
181,1591587890795,08/06/2020 03:44:50,1591587889474,-5,07/06/2020 22:44:49,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,43,67,1,OldNew,new,response_button_image,1084.885000018403,,new.png,1,1,0,0,,,,,2,test_A_grey,grey_line_socks.png,new.png
182,1591587891482,08/06/2020 03:44:51,1591587890162,-5,07/06/2020 22:44:50,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,43,67,3,Fixation,fixation,fixation,500.1500000000233,,,,0,1,0,,,,,2,test_A_grey,grey_line_socks.png,new.png
183,1591587892529,08/06/2020 03:44:52,1591587891213,-5,07/06/2020 22:44:51,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,96,68,1,OldNew,new,response_button_image,1020.6599999219179,,new.png,1,1,0,0,,,,,2,test_A_grey,word_boot.png,new.png
184,1591587893225,08/06/2020 03:44:53,1591587891911,-5,07/06/2020 22:44:51,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,96,68,3,Fixation,fixation,fixation,499.8530000000028,,,,0,1,0,,,,,2,test_A_grey,word_boot.png,new.png
185,1591587894053,08/06/2020 03:44:54,1591587892740,-5,07/06/2020 22:44:52,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,67,69,1,OldNew,new,response_button_image,803.2149999635294,,new.png,1,1,0,0,,,,,2,test_A_grey,grey_photo_clock3.png,new.png
186,1591587894756,08/06/2020 03:44:54,1591587893428,-5,07/06/2020 22:44:53,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,67,69,3,Fixation,fixation,fixation,499.94899999999325,,,,0,1,0,,,,,2,test_A_grey,grey_photo_clock3.png,new.png
187,1591587895913,08/06/2020 03:44:55,1591587894610,-5,07/06/2020 22:44:54,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,34,70,1,OldNew,old,response_button_image,1168.3000000193715,,old.png,1,0,1,0,,,,,2,test_A_grey,grey_line_leaf.png,new.png
188,1591587896750,08/06/2020 03:44:56,1591587895416,-5,07/06/2020 22:44:55,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,34,70,2,RFG,old,response_button_image,597.2149999579415,,recollection.png,1,0,1,0,,,,,2,test_A_grey,grey_line_leaf.png,new.png
189,1591587897422,08/06/2020 03:44:57,1591587896111,-5,07/06/2020 22:44:56,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,34,70,3,Fixation,fixation,fixation,500.1359999999986,,,,0,1,0,,,,,2,test_A_grey,grey_line_leaf.png,new.png
190,1591587898893,08/06/2020 03:44:58,1591587897587,-5,07/06/2020 22:44:57,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,82,71,1,OldNew,new,response_button_image,1443.9199999906123,,new.png,1,1,0,0,,,,,2,test_A_grey,grey_photo_needle3.png,new.png
191,1591587899596,08/06/2020 03:44:59,1591587898278,-5,07/06/2020 22:44:58,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,82,71,3,Fixation,fixation,fixation,500.2410000000091,,,,0,1,0,,,,,2,test_A_grey,grey_photo_needle3.png,new.png
192,1591587901332,08/06/2020 03:45:01,1591587900025,-5,07/06/2020 22:45:00,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,30,72,1,OldNew,old,response_button_image,1715.8000000054017,,old.png,1,0,1,0,,,,,2,test_A_grey,grey_line_guitar.png,new.png
193,1591587902176,08/06/2020 03:45:02,1591587900858,-5,07/06/2020 22:45:00,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,30,72,2,RFG,old,response_button_image,621.3599999900907,,recollection.png,1,0,1,0,,,,,2,test_A_grey,grey_line_guitar.png,new.png
