Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
19,1601467511190,30/09/2020 12:05:11,1601467511088,2,30/09/2020 14:05:11,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,32,7,1,fixation,fixation,fixation,498.77999999999884,,,,0,1,0,,,,,2,study_2_grey,photograph.png,grey_photo_eagle1.png
20,1601467513358,30/09/2020 12:05:13,1601467513245,2,30/09/2020 14:05:13,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,32,7,2,stim_2_grey,buttonB,response_button_image,2138.024999992922,,photograph.png,1,1,0,0,,,,,2,study_2_grey,photograph.png,grey_photo_eagle1.png
21,1601467514252,30/09/2020 12:05:14,1601467514147,2,30/09/2020 14:05:14,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,13,8,1,fixation,fixation,fixation,498.7800000000061,,,,0,1,0,,,,,2,study_2_grey,line-drawing.png,grey_line_pencil.png
22,1601467516221,30/09/2020 12:05:16,1601467516115,2,30/09/2020 14:05:16,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,13,8,2,stim_2_grey,Zone1,response_button_image,1948.9049999974668,,line-drawing.png,1,1,0,0,,,,,2,study_2_grey,line-drawing.png,grey_line_pencil.png
23,1601467517141,30/09/2020 12:05:17,1601467517007,2,30/09/2020 14:05:17,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,55,9,1,fixation,fixation,fixation,498.77999999999884,,,,0,1,0,,,,,2,study_2_grey,word.png,word_door.png
24,1601467518782,30/09/2020 12:05:18,1601467518677,2,30/09/2020 14:05:18,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,55,9,2,stim_2_grey,buttonA,response_button_image,1649.955000000773,,word.png,1,1,0,0,,,,,2,study_2_grey,word.png,word_door.png
25,1601467519769,30/09/2020 12:05:19,1601467519584,2,30/09/2020 14:05:19,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,17,10,1,fixation,fixation,fixation,498.77999999999884,,,,0,1,0,,,,,2,study_2_grey,line-drawing.png,grey_line_pumpkin.png
26,1601467521488,30/09/2020 12:05:21,1601467521330,2,30/09/2020 14:05:21,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,17,10,2,stim_2_grey,Zone1,response_button_image,1727.9549999948358,,line-drawing.png,1,1,0,0,,,,,2,study_2_grey,line-drawing.png,grey_line_pumpkin.png
27,1601467522363,30/09/2020 12:05:22,1601467522244,2,30/09/2020 14:05:22,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,4,11,1,fixation,fixation,fixation,498.77999999999884,,,,0,1,0,,,,,2,study_2_grey,line-drawing.png,grey_line_cloud.png
28,1601467524019,30/09/2020 12:05:24,1601467523895,2,30/09/2020 14:05:23,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,4,11,2,stim_2_grey,Zone1,response_button_image,1632.385000004433,,line-drawing.png,1,1,0,0,,,,,2,study_2_grey,line-drawing.png,grey_line_cloud.png
