Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
47,1606675839339,29/11/2020 18:50:39,1606675839222,1,29/11/2020 19:50:39,30809,11,task-wynt,,8209063,14626,2447231,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 13.1.2,1440x900,1440x900,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,14,21,1,fixation,fixation,fixation,502,,,,,0,1,0,,,,,2,blue_A_study,word.png,cherry--distinctive-word.png
48,1606675839965,29/11/2020 18:50:39,1606675839844,1,29/11/2020 19:50:39,30809,11,task-wynt,,8209063,14626,2447231,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 13.1.2,1440x900,1440x900,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,14,21,2,study_stim,buttonA,response_button_image,605.0000000000073,,,word.png,1,1,0,0,,,,,2,blue_A_study,word.png,cherry--distinctive-word.png
49,1606675840879,29/11/2020 18:50:40,1606675840770,1,29/11/2020 19:50:40,30809,11,task-wynt,,8209063,14626,2447231,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 13.1.2,1440x900,1440x900,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,48,22,1,fixation,fixation,fixation,498,,,,,0,1,0,,,,,2,blue_A_study,photo.png,pipe--grey-photo.png
50,1606675846181,29/11/2020 18:50:46,1606675846048,1,29/11/2020 19:50:46,30809,11,task-wynt,,8209063,14626,2447231,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 13.1.2,1440x900,1440x900,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,48,22,2,study_stim,Zone1,response_button_image,5259,,,photo.png,1,1,0,0,,,,,2,blue_A_study,photo.png,pipe--grey-photo.png
51,1606675847088,29/11/2020 18:50:47,1606675846963,1,29/11/2020 19:50:46,30809,11,task-wynt,,8209063,14626,2447231,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 13.1.2,1440x900,1440x900,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,12,23,1,fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,blue_A_study,word.png,piano--grey-word.png
52,1606675848088,29/11/2020 18:50:48,1606675847951,1,29/11/2020 19:50:47,30809,11,task-wynt,,8209063,14626,2447231,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 13.1.2,1440x900,1440x900,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,12,23,2,study_stim,buttonA,response_button_image,969.9999999999927,,,word.png,1,1,0,0,,,,,2,blue_A_study,word.png,piano--grey-word.png
53,1606675849057,29/11/2020 18:50:49,1606675848871,1,29/11/2020 19:50:48,30809,11,task-wynt,,8209063,14626,2447231,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 13.1.2,1440x900,1440x900,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,60,24,1,fixation,fixation,fixation,505,,,,,0,1,0,,,,,2,blue_A_study,photo.png,violin--col-photo.png
54,1606675850073,29/11/2020 18:50:50,1606675849951,1,29/11/2020 19:50:49,30809,11,task-wynt,,8209063,14626,2447231,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 13.1.2,1440x900,1440x900,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,60,24,2,study_stim,Zone1,response_button_image,1062,,,photo.png,1,1,0,0,,,,,2,blue_A_study,photo.png,violin--col-photo.png
55,1606675850985,29/11/2020 18:50:50,1606675850871,1,29/11/2020 19:50:50,30809,11,task-wynt,,8209063,14626,2447231,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 13.1.2,1440x900,1440x900,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,52,25,1,fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,blue_A_study,photo.png,eagle--grey-photo.png
56,1606675852344,29/11/2020 18:50:52,1606675852237,1,29/11/2020 19:50:52,30809,11,task-wynt,,8209063,14626,2447231,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 13.1.2,1440x900,1440x900,Test finished,Blue A - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_A,,,,,,Blue A: study finished,,,,Distractor finished,,,,,,,BlueA-Study-Spreadsheet,BlueA-Study-Spreadsheet,52,25,2,study_stim,Zone1,response_button_image,1348.0000000000073,,,photo.png,1,1,0,0,,,,,2,blue_A_study,photo.png,eagle--grey-photo.png
