Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
6,1608053384368,15/12/2020 17:29:44,1608053384401,0,15/12/2020 17:29:44,30809,15,task-j366,,8654941,14435,2630735,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1366x768,1366x768,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,2,2,2,filler_start_stim,Zone1,response_button_image,3626.864999998361,,,photo.png,1,1,0,0,,,,,1,red_B_study_filler_start,photo.png,broom--col-photo.png
7,1608053385263,15/12/2020 17:29:45,1608053385288,0,15/12/2020 17:29:45,30809,15,task-j366,,8654941,14435,2630735,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1366x768,1366x768,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,18,1,1,fixation,fixation,fixation,500.1209999999992,,,,,0,1,0,,,,,2,red_B_study,word.png,violin--distinctive-word.png
8,1608053386671,15/12/2020 17:29:46,1608053386714,0,15/12/2020 17:29:46,30809,15,task-j366,,8654941,14435,2630735,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1366x768,1366x768,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,18,1,2,study_stim,buttonA,response_button_image,1316.3250000216067,,,word.png,1,1,0,0,,,,,2,red_B_study,word.png,violin--distinctive-word.png
9,1608053387577,15/12/2020 17:29:47,1608053387604,0,15/12/2020 17:29:47,30809,15,task-j366,,8654941,14435,2630735,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1366x768,1366x768,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,53,2,1,fixation,fixation,fixation,499.6399999999994,,,,,0,1,0,,,,,2,red_B_study,photo.png,nail--grey-photo.png
10,1608053390024,15/12/2020 17:29:50,1608053389905,0,15/12/2020 17:29:49,30809,15,task-j366,,8654941,14435,2630735,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1366x768,1366x768,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,53,2,2,study_stim,Zone2,response_button_image,2172.109999926761,,,drawing.png,1,0,1,0,,,,,2,red_B_study,photo.png,nail--grey-photo.png
11,1608053390775,15/12/2020 17:29:50,1608053390786,0,15/12/2020 17:29:50,30809,15,task-j366,,8654941,14435,2630735,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1366x768,1366x768,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,47,3,1,fixation,fixation,fixation,499.9410000000007,,,,,0,1,0,,,,,2,red_B_study,photo.png,pepper--grey-photo.png
12,1608053393294,15/12/2020 17:29:53,1608053393336,0,15/12/2020 17:29:53,30809,15,task-j366,,8654941,14435,2630735,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1366x768,1366x768,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,47,3,2,study_stim,Zone1,response_button_image,2439.3899999558926,,,photo.png,1,1,0,0,,,,,2,red_B_study,photo.png,pepper--grey-photo.png
13,1608053394201,15/12/2020 17:29:54,1608053394236,0,15/12/2020 17:29:54,30809,15,task-j366,,8654941,14435,2630735,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1366x768,1366x768,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,17,4,1,fixation,fixation,fixation,499.9730000000018,,,,,0,1,0,,,,,2,red_B_study,word.png,skirt--distinctive-word.png
14,1608053395685,15/12/2020 17:29:55,1608053395723,0,15/12/2020 17:29:55,30809,15,task-j366,,8654941,14435,2630735,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1366x768,1366x768,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,17,4,2,study_stim,buttonA,response_button_image,1404.8200000543147,,,word.png,1,1,0,0,,,,,2,red_B_study,word.png,skirt--distinctive-word.png
15,1608053396763,15/12/2020 17:29:56,1608053396619,0,15/12/2020 17:29:56,30809,15,task-j366,,8654941,14435,2630735,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1366x768,1366x768,Test finished,Red B - Study,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,RedB-Study-Spreadsheet,RedB-Study-Spreadsheet,14,5,1,fixation,fixation,fixation,499.97499999999854,,,,,0,1,0,,,,,2,red_B_study,word.png,shirt--distinctive-word.png
