Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
117,1607263497407,06/12/2020 14:04:57,1607263497367,0,06/12/2020 14:04:57,30809,14,task-u43z,,8363506,14690,2549564,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1280x800,1280x800,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,53,56,1,fixation,fixation,fixation,501,,,,,0,1,0,,,,,2,yellow_B_study,photo.png,onion--grey-photo.png
118,1607263498767,06/12/2020 14:04:58,1607263498737,0,06/12/2020 14:04:58,30809,14,task-u43z,,8363506,14690,2549564,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1280x800,1280x800,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,53,56,2,study_stim,Zone1,response_button_image,1357,,,photo.png,1,1,0,0,,,,,2,yellow_B_study,photo.png,onion--grey-photo.png
119,1607263499674,06/12/2020 14:04:59,1607263499651,0,06/12/2020 14:04:59,30809,14,task-u43z,,8363506,14690,2549564,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1280x800,1280x800,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,27,57,1,fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,yellow_B_study,drawing.png,kite--grey-drawing.png
120,1607263500663,06/12/2020 14:05:00,1607263500628,0,06/12/2020 14:05:00,30809,14,task-u43z,,8363506,14690,2549564,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1280x800,1280x800,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,27,57,2,study_stim,Zone2,response_button_image,963.9999999999854,,,drawing.png,1,1,0,0,,,,,2,yellow_B_study,drawing.png,kite--grey-drawing.png
121,1607263501585,06/12/2020 14:05:01,1607263501553,0,06/12/2020 14:05:01,30809,14,task-u43z,,8363506,14690,2549564,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1280x800,1280x800,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,5,58,1,fixation,fixation,fixation,501,,,,,0,1,0,,,,,2,yellow_B_study,word.png,snowman--grey-word.png
122,1607263502585,06/12/2020 14:05:02,1607263502549,0,06/12/2020 14:05:02,30809,14,task-u43z,,8363506,14690,2549564,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1280x800,1280x800,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,5,58,2,study_stim,buttonA,response_button_image,984.0000000000146,,,word.png,1,1,0,0,,,,,2,yellow_B_study,word.png,snowman--grey-word.png
123,1607263503507,06/12/2020 14:05:03,1607263503470,0,06/12/2020 14:05:03,30809,14,task-u43z,,8363506,14690,2549564,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1280x800,1280x800,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,32,59,1,fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,yellow_B_study,drawing.png,basket--grey-drawing.png
124,1607263504656,06/12/2020 14:05:04,1607263504615,0,06/12/2020 14:05:04,30809,14,task-u43z,,8363506,14690,2549564,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1280x800,1280x800,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,32,59,2,study_stim,Zone2,response_button_image,1132.000000000029,,,drawing.png,1,1,0,0,,,,,2,yellow_B_study,drawing.png,basket--grey-drawing.png
125,1607263505578,06/12/2020 14:05:05,1607263505538,0,06/12/2020 14:05:05,30809,14,task-u43z,,8363506,14690,2549564,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1280x800,1280x800,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,41,60,1,fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,yellow_B_study,drawing.png,orange--col-drawing.png
126,1607263507203,06/12/2020 14:05:07,1607263507171,0,06/12/2020 14:05:07,30809,14,task-u43z,,8363506,14690,2549564,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1280x800,1280x800,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,41,60,2,study_stim,Zone2,response_button_image,1620,,,drawing.png,1,1,0,0,,,,,2,yellow_B_study,drawing.png,orange--col-drawing.png
127,1607263508125,06/12/2020 14:05:08,1607263508050,0,06/12/2020 14:05:08,30809,14,task-u43z,,8363506,14690,2549564,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1280x800,1280x800,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,65,1,1,filler_end_fixation,fixation,fixation,450,,,,,0,1,0,,,,,3,yellow_B_study_filler_end,word.png,stool--grey-word.png
128,1607263509409,06/12/2020 14:05:09,1607263509368,0,06/12/2020 14:05:09,30809,14,task-u43z,,8363506,14690,2549564,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1280x800,1280x800,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,65,1,2,filler_end_stim,buttonA,response_button_image,1306,,,word.png,1,1,0,0,,,,,3,yellow_B_study_filler_end,word.png,stool--grey-word.png
129,1607263510269,06/12/2020 14:05:10,1607263510236,0,06/12/2020 14:05:10,30809,14,task-u43z,,8363506,14690,2549564,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1280x800,1280x800,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,64,2,1,filler_end_fixation,fixation,fixation,451,,,,,0,1,0,,,,,3,yellow_B_study_filler_end,photo.png,cake--col-photo.png
130,1607263511787,06/12/2020 14:05:11,1607263511755,0,06/12/2020 14:05:11,30809,14,task-u43z,,8363506,14690,2549564,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1280x800,1280x800,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,YellowB-Study-Spreadsheet,64,2,2,filler_end_stim,Zone1,response_button_image,1506,,,photo.png,1,1,0,0,,,,,3,yellow_B_study_filler_end,photo.png,cake--col-photo.png
131,1607263512225,06/12/2020 14:05:12,1607263512171,0,06/12/2020 14:05:12,30809,14,task-u43z,,8363506,14690,2549564,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1280x800,1280x800,Test finished,Yellow B - Study,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,YellowB-Study-Spreadsheet,,,END TASK,,,,,139841,,,,,0,1,0,,,,,,,,
END OF FILE
