Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,question,ShowProgressBar,ans1,ans2,ans3,ans4,correct,total,incorrect,Formatted-answer
1,1608401036106,19/12/2020 18:03:56,1608401035127,0,19/12/2020 18:03:55,30809,15,task-y5ql,,8749961,13971,2660648,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1366x768,1366x657,Test finished,Distractor,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,Distractor-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1608401037881,19/12/2020 18:03:57,1608401036910,0,19/12/2020 18:03:56,30809,15,task-y5ql,,8749961,13971,2660648,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1366x768,1366x657,Test finished,Distractor,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,Distractor-Spreadsheet,Distractor-Spreadsheet,1,1,1,Check,script,force_advance,1783.6460000000002,,,,,0,1,0,,,,,,FullscreenCheck,,,,,,,,,,,
3,1608401040960,19/12/2020 18:04:00,1608401040056,0,19/12/2020 18:04:00,30809,15,task-y5ql,,8749961,13971,2660648,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Distractor,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,Distractor-Spreadsheet,Distractor-Spreadsheet,15,1,1,Questions,buttonC,response_button_text,2916.7100000195205,,,24,1,0,1,0,,,,,1,MathQ,32,<h4>4 x 8 =</h4>,1,36,32,24,28,correct_1,total_1,incorrect_1,<h4>32</h4>
4,1608401041898,19/12/2020 18:04:01,1608401041003,0,19/12/2020 18:04:01,30809,15,task-y5ql,,8749961,13971,2660648,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Distractor,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,Distractor-Spreadsheet,Distractor-Spreadsheet,15,1,2,Incorrect,Zone7,timelimit_screen,999.6170000000002,,,,,0,1,0,,,1,,1,MathQ,32,<h4>4 x 8 =</h4>,1,36,32,24,28,correct_1,total_1,incorrect_1,<h4>32</h4>
5,1608401042054,19/12/2020 18:04:02,1608401041035,0,19/12/2020 18:04:01,30809,15,task-y5ql,,8749961,13971,2660648,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Distractor,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,Distractor-Spreadsheet,Distractor-Spreadsheet,15,1,4,Blank,Zone1,timelimit_screen,16.615999999999985,,,,,0,1,0,,,1,,1,MathQ,32,<h4>4 x 8 =</h4>,1,36,32,24,28,correct_1,total_1,incorrect_1,<h4>32</h4>
6,1608401048037,19/12/2020 18:04:08,1608401047006,0,19/12/2020 18:04:07,30809,15,task-y5ql,,8749961,13971,2660648,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Distractor,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,Distractor-Spreadsheet,Distractor-Spreadsheet,2,2,1,Questions,buttonA,response_button_text,5834.130000002915,,,18,1,1,0,0,,,,,1,MathQ,18,<h4>3 x 6 =</h4>,1,18,16,17,19,correct_1,total_1,incorrect_1,<h3>18</h3>
7,1608401048912,19/12/2020 18:04:08,1608401048001,0,19/12/2020 18:04:08,30809,15,task-y5ql,,8749961,13971,2660648,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Distractor,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,Distractor-Spreadsheet,Distractor-Spreadsheet,2,2,3,Correct,Zone7,timelimit_screen,999.9699999999993,,,,,0,1,0,,,1,,1,MathQ,18,<h4>3 x 6 =</h4>,1,18,16,17,19,correct_1,total_1,incorrect_1,<h3>18</h3>
8,1608401049037,19/12/2020 18:04:09,1608401048024,0,19/12/2020 18:04:08,30809,15,task-y5ql,,8749961,13971,2660648,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Distractor,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,Distractor-Spreadsheet,Distractor-Spreadsheet,2,2,4,Blank,Zone1,timelimit_screen,16.274999999999636,,,,,0,1,0,,,1,,1,MathQ,18,<h4>3 x 6 =</h4>,1,18,16,17,19,correct_1,total_1,incorrect_1,<h3>18</h3>
9,1608401053306,19/12/2020 18:04:13,1608401052306,0,19/12/2020 18:04:12,30809,15,task-y5ql,,8749961,13971,2660648,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Distractor,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,Distractor-Spreadsheet,Distractor-Spreadsheet,10,3,1,Questions,buttonD,response_button_text,4165.884999994887,,,21,1,1,0,0,,,,,1,MathQ,21,<h4>3 x 7 =</h4>,1,19,24,18,21,correct_1,total_1,incorrect_1,<h4>21</h4>
10,1608401054181,19/12/2020 18:04:14,1608401053300,0,19/12/2020 18:04:13,30809,15,task-y5ql,,8749961,13971,2660648,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1366x768,1366x768,Test finished,Distractor,2,Consent Given,Consented,Test finished,yellow_group,Yellow,,,,,,,,,,,,,Distractor finished,,,,Yellow B: study finished,,yellow_B,Distractor-Spreadsheet,Distractor-Spreadsheet,10,3,3,Correct,Zone7,timelimit_screen,999.9669999999969,,,,,0,1,0,,,1,,1,MathQ,21,<h4>3 x 7 =</h4>,1,19,24,18,21,correct_1,total_1,incorrect_1,<h4>21</h4>
