Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
1,1608307155845,18/12/2020 15:59:15,1608307154318,0,18/12/2020 15:59:14,30809,15,task-6vny,,8736011,14651,2656814,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,1280x578,Test finished,Green Test,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,Green-Test-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1608307157361,18/12/2020 15:59:17,1608307155874,0,18/12/2020 15:59:15,30809,15,task-6vny,,8736011,14651,2656814,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,1280x578,Test finished,Green Test,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,Green-Test-Spreadsheet,Green-Test-Spreadsheet,1,1,1,check,script,force_advance,1532.8110000000001,,,,,0,1,0,,,,,,fullscreen_check,,
3,1608307157829,18/12/2020 15:59:17,1608307156360,0,18/12/2020 15:59:16,30809,15,task-6vny,,8736011,14651,2656814,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,1280x720,Test finished,Green Test,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,Green-Test-Spreadsheet,Green-Test-Spreadsheet,2,1,1,Screen 1,fixation,fixation,499.7109999999998,,,,,0,1,0,,,,,,fixation,,
4,1608307160239,18/12/2020 15:59:20,1608307158785,0,18/12/2020 15:59:18,30809,15,task-6vny,,8736011,14651,2656814,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,1280x720,Test finished,Green Test,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,Green-Test-Spreadsheet,Green-Test-Spreadsheet,3,1,1,OldNew,old,response_button_image,2357.3299999989104,,,old.png,1,0,1,0,,,,,1,filler,cake--distinctive-word.png,new.png
5,1608307162425,18/12/2020 15:59:22,1608307160973,0,18/12/2020 15:59:20,30809,15,task-6vny,,8736011,14651,2656814,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,1280x720,Test finished,Green Test,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,Green-Test-Spreadsheet,Green-Test-Spreadsheet,3,1,2,RFG,old,response_button_image,1960.640000004787,,,recollection.png,1,0,1,0,,,,,1,filler,cake--distinctive-word.png,new.png
6,1608307163129,18/12/2020 15:59:23,1608307161670,0,18/12/2020 15:59:21,30809,15,task-6vny,,8736011,14651,2656814,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,1280x720,Test finished,Green Test,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,Green-Test-Spreadsheet,Green-Test-Spreadsheet,3,1,3,Fixation,fixation,fixation,499.6099999999997,,,,,0,1,0,,,,,1,filler,cake--distinctive-word.png,new.png
7,1608307164974,18/12/2020 15:59:24,1608307163530,0,18/12/2020 15:59:23,30809,15,task-6vny,,8736011,14651,2656814,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,1280x720,Test finished,Green Test,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,Green-Test-Spreadsheet,Green-Test-Spreadsheet,8,2,1,OldNew,old,response_button_image,1830.4449999995995,,,old.png,1,0,1,0,,,,,1,filler,apple--grey-photo.png,new.png
8,1608307173294,18/12/2020 15:59:33,1608307171841,0,18/12/2020 15:59:31,30809,15,task-6vny,,8736011,14651,2656814,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,1280x720,Test finished,Green Test,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,Green-Test-Spreadsheet,Green-Test-Spreadsheet,8,2,2,RFG,Zone1,response_button_image,8109.809999994468,,,familiarity.png,1,0,1,0,,,,,1,filler,apple--grey-photo.png,new.png
9,1608307173996,18/12/2020 15:59:33,1608307172549,0,18/12/2020 15:59:32,30809,15,task-6vny,,8736011,14651,2656814,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,1280x720,Test finished,Green Test,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,Green-Test-Spreadsheet,Green-Test-Spreadsheet,8,2,3,Fixation,fixation,fixation,499.7410000000018,,,,,0,1,0,,,,,1,filler,apple--grey-photo.png,new.png
10,1608307180401,18/12/2020 15:59:40,1608307178963,0,18/12/2020 15:59:38,30809,15,task-6vny,,8736011,14651,2656814,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,1280x720,Test finished,Green Test,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,Green-Test-Spreadsheet,Green-Test-Spreadsheet,5,3,1,OldNew,old,response_button_image,6393.559999996796,,,old.png,1,0,1,0,,,,,1,filler,broom--grey-word.png,new.png
