Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
32,1607031741511,03/12/2020 21:42:21,1607031741382,0,03/12/2020 21:42:21,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,92,4,1,OldNew,old,response_button_image,1021.8099999474362,,,old.png,1,0,1,0,,,,,2,purple_test,piano--col-photo.png,new.png
33,1607031742120,03/12/2020 21:42:22,1607031741989,0,03/12/2020 21:42:21,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,92,4,2,RFG,old,response_button_image,361.4949999609962,,,recollection.png,1,0,1,0,,,,,2,purple_test,piano--col-photo.png,new.png
34,1607031742730,03/12/2020 21:42:22,1607031742676,0,03/12/2020 21:42:22,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,92,4,3,Fixation,fixation,fixation,499.4930000000022,,,,,0,1,0,,,,,2,purple_test,piano--col-photo.png,new.png
35,1607031744480,03/12/2020 21:42:24,1607031744460,0,03/12/2020 21:42:24,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,45,5,1,OldNew,old,response_button_image,1768.1200000224635,,,old.png,1,0,1,0,,,,,2,purple_test,fence--grey-word.png,new.png
36,1607031745543,03/12/2020 21:42:25,1607031745522,0,03/12/2020 21:42:25,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,45,5,2,RFG,Zone1,response_button_image,848.4049999387935,,,familiarity.png,1,0,1,0,,,,,2,purple_test,fence--grey-word.png,new.png
37,1607031746230,03/12/2020 21:42:26,1607031746209,0,03/12/2020 21:42:26,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,45,5,3,Fixation,fixation,fixation,500.0529999999999,,,,,0,1,0,,,,,2,purple_test,fence--grey-word.png,new.png
38,1607031747522,03/12/2020 21:42:27,1607031747460,0,03/12/2020 21:42:27,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,55,6,1,OldNew,new,response_button_image,1234.8950000014156,,,new.png,1,1,0,0,,,,,2,purple_test,grapes--col-photo.png,new.png
39,1607031748178,03/12/2020 21:42:28,1607031748158,0,03/12/2020 21:42:28,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,55,6,3,Fixation,fixation,fixation,499.81499999999505,,,,,0,1,0,,,,,2,purple_test,grapes--col-photo.png,new.png
40,1607031749444,03/12/2020 21:42:29,1607031749410,0,03/12/2020 21:42:29,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,31,7,1,OldNew,old,response_button_image,1236.8400000268593,,,old.png,1,0,1,0,,,,,2,purple_test,chair--grey-word.png,new.png
41,1607031750084,03/12/2020 21:42:30,1607031750070,0,03/12/2020 21:42:30,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,31,7,2,RFG,Zone1,response_button_image,449.52000002376735,,,familiarity.png,1,0,1,0,,,,,2,purple_test,chair--grey-word.png,new.png
