Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,question,ShowProgressBar,ans1,ans2,ans3,ans4,correct,total,incorrect,Formatted-answer
1,1607031537401,03/12/2020 21:38:57,1607031537259,0,03/12/2020 21:38:57,30809,12,task-y5ql,,8322992,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x385,Test finished,Distractor,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Distractor-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1607031538794,03/12/2020 21:38:58,1607031538742,0,03/12/2020 21:38:58,30809,12,task-y5ql,,8322992,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x385,Test finished,Distractor,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,1,1,1,Check,script,force_advance,1466.6779999999999,,,,,0,1,0,,,,,,FullscreenCheck,,,,,,,,,,,
3,1607031543376,03/12/2020 21:39:03,1607031543329,0,03/12/2020 21:39:03,30809,12,task-y5ql,,8322992,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Distractor,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,20,1,1,Questions,buttonD,response_button_text,4496.20000005234,,,16,1,1,0,0,,,,,1,MathQ,16,<h4>2 x 8 =</h4>,1,20,18,19,16,correct_1,total_1,incorrect_1,<h4>16</h4>
4,1607031544330,03/12/2020 21:39:04,1607031544293,0,03/12/2020 21:39:04,30809,12,task-y5ql,,8322992,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Distractor,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,20,1,3,Correct,Zone7,timelimit_screen,999.6720000000005,,,,,0,1,0,,,1,,1,MathQ,16,<h4>2 x 8 =</h4>,1,20,18,19,16,correct_1,total_1,incorrect_1,<h4>16</h4>
5,1607031544486,03/12/2020 21:39:04,1607031544311,0,03/12/2020 21:39:04,30809,12,task-y5ql,,8322992,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Distractor,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,20,1,4,Blank,Zone1,timelimit_screen,16.623999999999796,,,,,0,1,0,,,1,,1,MathQ,16,<h4>2 x 8 =</h4>,1,20,18,19,16,correct_1,total_1,incorrect_1,<h4>16</h4>
6,1607031549945,03/12/2020 21:39:09,1607031549926,0,03/12/2020 21:39:09,30809,12,task-y5ql,,8322992,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Distractor,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,2,2,1,Questions,buttonA,response_button_text,5579.554999945685,,,18,1,1,0,0,,,,,1,MathQ,18,<h4>3 x 6 =</h4>,1,18,16,17,19,correct_1,total_1,incorrect_1,<h3>18</h3>
7,1607031550963,03/12/2020 21:39:10,1607031550925,0,03/12/2020 21:39:10,30809,12,task-y5ql,,8322992,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Distractor,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,2,2,3,Correct,Zone7,timelimit_screen,1000.1970000000001,,,,,0,1,0,,,1,,1,MathQ,18,<h4>3 x 6 =</h4>,1,18,16,17,19,correct_1,total_1,incorrect_1,<h3>18</h3>
8,1607031551088,03/12/2020 21:39:11,1607031550941,0,03/12/2020 21:39:10,30809,12,task-y5ql,,8322992,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Distractor,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,2,2,4,Blank,Zone1,timelimit_screen,16.771999999999025,,,,,0,1,0,,,1,,1,MathQ,18,<h4>3 x 6 =</h4>,1,18,16,17,19,correct_1,total_1,incorrect_1,<h3>18</h3>
9,1607031552884,03/12/2020 21:39:12,1607031552853,0,03/12/2020 21:39:12,30809,12,task-y5ql,,8322992,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Distractor,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,16,3,1,Questions,buttonB,response_button_text,1869.234999991022,,,12,1,1,0,0,,,,,1,MathQ,12,<h4>6 x 2 =</h4>,1,14,12,16,18,correct_1,total_1,incorrect_1,<h4>12</h4>
10,1607031553871,03/12/2020 21:39:13,1607031553841,0,03/12/2020 21:39:13,30809,12,task-y5ql,,8322992,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Distractor,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,16,3,3,Correct,Zone7,timelimit_screen,999.7960000000003,,,,,0,1,0,,,1,,1,MathQ,12,<h4>6 x 2 =</h4>,1,14,12,16,18,correct_1,total_1,incorrect_1,<h4>12</h4>
11,1607031553998,03/12/2020 21:39:13,1607031553856,0,03/12/2020 21:39:13,30809,12,task-y5ql,,8322992,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Distractor,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,16,3,4,Blank,Zone1,timelimit_screen,16.73199999999997,,,,,0,1,0,,,1,,1,MathQ,12,<h4>6 x 2 =</h4>,1,14,12,16,18,correct_1,total_1,incorrect_1,<h4>12</h4>
12,1607031555310,03/12/2020 21:39:15,1607031555257,0,03/12/2020 21:39:15,30809,12,task-y5ql,,8322992,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Distractor,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,3,4,1,Questions,buttonB,response_button_text,1367.2950000036508,,,18,1,1,0,0,,,,,1,MathQ,18,<h4>2 x 9 = </h4>,1,21,18,16,19,correct_1,total_1,incorrect_1,<h4>18</h4>
13,1607031556279,03/12/2020 21:39:16,1607031556257,0,03/12/2020 21:39:16,30809,12,task-y5ql,,8322992,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Distractor,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,3,4,3,Correct,Zone7,timelimit_screen,1000.255000000001,,,,,0,1,0,,,1,,1,MathQ,18,<h4>2 x 9 = </h4>,1,21,18,16,19,correct_1,total_1,incorrect_1,<h4>18</h4>
