Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,question,ShowProgressBar,ans1,ans2,ans3,ans4,correct,total,incorrect,Formatted-answer
1,1607625280537,10/12/2020 18:34:40,1607625280900,0,10/12/2020 18:34:40,30809,14,task-y5ql,,8548640,14633,2598092,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.57,1366x768,1138x548,Test finished,Distractor,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,Distractor-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1607625282897,10/12/2020 18:34:42,1607625283179,0,10/12/2020 18:34:43,30809,14,task-y5ql,,8548640,14633,2598092,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.57,1366x768,1124x548,Test finished,Distractor,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,1,1,1,Check,script,force_advance,2266.521,,,,,0,1,0,,,,,,FullscreenCheck,,,,,,,,,,,
3,1607625289082,10/12/2020 18:34:49,1607625289481,0,10/12/2020 18:34:49,30809,14,task-y5ql,,8548640,14633,2598092,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.57,1366x768,1138x640,Test finished,Distractor,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,7,1,1,Questions,buttonB,response_button_text,5771.869999996852,,,49,1,1,0,0,,,,,1,MathQ,49,<h4>7 x 7 = </h4>,1,56,49,42,47,correct_1,total_1,incorrect_1,<h4>49</h4>
4,1607625289983,10/12/2020 18:34:49,1607625290437,0,10/12/2020 18:34:50,30809,14,task-y5ql,,8548640,14633,2598092,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.57,1366x768,1138x640,Test finished,Distractor,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,7,1,3,Correct,Zone7,timelimit_screen,999.9319999999989,,,,,0,1,0,,,1,,1,MathQ,49,<h4>7 x 7 = </h4>,1,56,49,42,47,correct_1,total_1,incorrect_1,<h4>49</h4>
5,1607625290222,10/12/2020 18:34:50,1607625290458,0,10/12/2020 18:34:50,30809,14,task-y5ql,,8548640,14633,2598092,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.57,1366x768,1138x640,Test finished,Distractor,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,7,1,4,Blank,Zone1,timelimit_screen,16.666000000001077,,,,,0,1,0,,,1,,1,MathQ,49,<h4>7 x 7 = </h4>,1,56,49,42,47,correct_1,total_1,incorrect_1,<h4>49</h4>
6,1607625294657,10/12/2020 18:34:54,1607625295059,0,10/12/2020 18:34:55,30809,14,task-y5ql,,8548640,14633,2598092,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.57,1366x768,1138x640,Test finished,Distractor,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,4,2,1,Questions,buttonC,response_button_text,4388.745000003837,,,16,1,1,0,0,,,,,1,MathQ,16,<h4>4 x 4 =</h4>,1,12,18,16,20,correct_1,total_1,incorrect_1,<h4>16</h4>
7,1607625295586,10/12/2020 18:34:55,1607625296040,0,10/12/2020 18:34:56,30809,14,task-y5ql,,8548640,14633,2598092,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.57,1366x768,1138x640,Test finished,Distractor,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,4,2,3,Correct,Zone7,timelimit_screen,999.8600000000006,,,,,0,1,0,,,1,,1,MathQ,16,<h4>4 x 4 =</h4>,1,12,18,16,20,correct_1,total_1,incorrect_1,<h4>16</h4>
8,1607625295804,10/12/2020 18:34:55,1607625296066,0,10/12/2020 18:34:56,30809,14,task-y5ql,,8548640,14633,2598092,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.57,1366x768,1138x640,Test finished,Distractor,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,4,2,4,Blank,Zone1,timelimit_screen,16.66599999999744,,,,,0,1,0,,,1,,1,MathQ,16,<h4>4 x 4 =</h4>,1,12,18,16,20,correct_1,total_1,incorrect_1,<h4>16</h4>
9,1607625299431,10/12/2020 18:34:59,1607625299807,0,10/12/2020 18:34:59,30809,14,task-y5ql,,8548640,14633,2598092,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.57,1366x768,1138x640,Test finished,Distractor,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,3,3,1,Questions,buttonB,response_button_text,3560.189999989234,,,18,1,1,0,0,,,,,1,MathQ,18,<h4>2 x 9 = </h4>,1,21,18,16,19,correct_1,total_1,incorrect_1,<h4>18</h4>
10,1607625300337,10/12/2020 18:35:00,1607625300785,0,10/12/2020 18:35:00,30809,14,task-y5ql,,8548640,14633,2598092,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.57,1366x768,1138x640,Test finished,Distractor,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,3,3,3,Correct,Zone7,timelimit_screen,999.8110000000015,,,,,0,1,0,,,1,,1,MathQ,18,<h4>2 x 9 = </h4>,1,21,18,16,19,correct_1,total_1,incorrect_1,<h4>18</h4>
11,1607625300556,10/12/2020 18:35:00,1607625300818,0,10/12/2020 18:35:00,30809,14,task-y5ql,,8548640,14633,2598092,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.57,1366x768,1138x640,Test finished,Distractor,2,Consent Given,Consented,Test finished,red_group,Red,red_B,,,,,Red B: study finished,,,,,,,Distractor finished,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,3,3,4,Blank,Zone1,timelimit_screen,16.66599999999744,,,,,0,1,0,,,1,,1,MathQ,18,<h4>2 x 9 = </h4>,1,21,18,16,19,correct_1,total_1,incorrect_1,<h4>18</h4>
