Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
1,1610307142380,10/01/2021 19:32:22,1610307142292,0,10/01/2021 19:32:22,30809,18,task-yxhp,,9009187,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1518x858,Test finished,Red Test,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,Red-Test-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1610307144270,10/01/2021 19:32:24,1610307144066,0,10/01/2021 19:32:24,30809,18,task-yxhp,,9009187,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1518x858,Test finished,Red Test,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,Red-Test-Spreadsheet,Red-Test-Spreadsheet,1,1,1,check,script,force_advance,1766.596,,,,,0,1,0,,,,,,fullscreen_check,,
3,1610307144599,10/01/2021 19:32:24,1610307144565,0,10/01/2021 19:32:24,30809,18,task-yxhp,,9009187,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red Test,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,Red-Test-Spreadsheet,Red-Test-Spreadsheet,2,1,1,Screen 1,fixation,fixation,499.98,,,,,0,1,0,,,,,,fixation,,
4,1610307146981,10/01/2021 19:32:26,1610307146928,0,10/01/2021 19:32:26,30809,18,task-yxhp,,9009187,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red Test,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,Red-Test-Spreadsheet,Red-Test-Spreadsheet,3,1,1,OldNew,new,response_button_image,2331.850000016857,,,new.png,1,1,0,0,,,,,1,filler,cake--grey-word.png,new.png
5,1610307147669,10/01/2021 19:32:27,1610307147633,0,10/01/2021 19:32:27,30809,18,task-yxhp,,9009187,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red Test,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,Red-Test-Spreadsheet,Red-Test-Spreadsheet,3,1,3,Fixation,fixation,fixation,499.97999999999956,,,,,0,1,0,,,,,1,filler,cake--grey-word.png,new.png
6,1610307148848,10/01/2021 19:32:28,1610307148810,0,10/01/2021 19:32:28,30809,18,task-yxhp,,9009187,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red Test,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,Red-Test-Spreadsheet,Red-Test-Spreadsheet,9,2,1,OldNew,new,response_button_image,1159.044999978505,,,new.png,1,1,0,0,,,,,1,filler,bicycle--grey-photo.png,new.png
7,1610307149570,10/01/2021 19:32:29,1610307149516,0,10/01/2021 19:32:29,30809,18,task-yxhp,,9009187,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red Test,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,Red-Test-Spreadsheet,Red-Test-Spreadsheet,9,2,3,Fixation,fixation,fixation,499.97999999999956,,,,,0,1,0,,,,,1,filler,bicycle--grey-photo.png,new.png
8,1610307150652,10/01/2021 19:32:30,1610307150610,0,10/01/2021 19:32:30,30809,18,task-yxhp,,9009187,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red Test,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,Red-Test-Spreadsheet,Red-Test-Spreadsheet,8,3,1,OldNew,new,response_button_image,1074.1750000161119,,,new.png,1,1,0,0,,,,,1,filler,apple--col-photo.png,new.png
9,1610307151358,10/01/2021 19:32:31,1610307151315,0,10/01/2021 19:32:31,30809,18,task-yxhp,,9009187,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red Test,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,Red-Test-Spreadsheet,Red-Test-Spreadsheet,8,3,3,Fixation,fixation,fixation,499.97999999999956,,,,,0,1,0,,,,,1,filler,apple--col-photo.png,new.png
10,1610307152515,10/01/2021 19:32:32,1610307152471,0,10/01/2021 19:32:32,30809,18,task-yxhp,,9009187,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red Test,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,Red-Test-Spreadsheet,Red-Test-Spreadsheet,7,4,1,OldNew,new,response_button_image,1138.6400000192225,,,new.png,1,1,0,0,,,,,1,filler,candle--col-photo.png,new.png
11,1610307153233,10/01/2021 19:32:33,1610307153183,0,10/01/2021 19:32:33,30809,18,task-yxhp,,9009187,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red Test,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,Red-Test-Spreadsheet,Red-Test-Spreadsheet,7,4,3,Fixation,fixation,fixation,499.97999999999956,,,,,0,1,0,,,,,1,filler,candle--col-photo.png,new.png
12,1610307154452,10/01/2021 19:32:34,1610307154412,0,10/01/2021 19:32:34,30809,18,task-yxhp,,9009187,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red Test,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,Red-Test-Spreadsheet,Red-Test-Spreadsheet,6,5,1,OldNew,old,response_button_image,1211.1799999838695,,,old.png,1,0,1,0,,,,,1,filler,ashtray--grey-drawing.png,new.png
13,1610307156468,10/01/2021 19:32:36,1610307156429,0,10/01/2021 19:32:36,30809,18,task-yxhp,,9009187,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red Test,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,Red-Test-Spreadsheet,Red-Test-Spreadsheet,6,5,2,RFG,old,response_button_image,1801.6299999435432,,,recollection.png,1,0,1,0,,,,,1,filler,ashtray--grey-drawing.png,new.png
14,1610307157171,10/01/2021 19:32:37,1610307157132,0,10/01/2021 19:32:37,30809,18,task-yxhp,,9009187,%z%,2742573,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.141,1680x1050,1680x1050,Test finished,Red Test,3,Consent Given,Consented,Test finished,red_group,Red,red_A,,,,Red A: study finished,,,,,,,,Distractor finished,,,,,,,Red-Test-Spreadsheet,Red-Test-Spreadsheet,6,5,3,Fixation,fixation,fixation,499.9800000000014,,,,,0,1,0,,,,,1,filler,ashtray--grey-drawing.png,new.png
