Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
89,1609950827365,06/01/2021 16:33:47,1609950827323,0,06/01/2021 16:33:47,30809,16,task-x6zh,,8940620,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue B - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,BlueB-Study-Spreadsheet,BlueB-Study-Spreadsheet,10,42,1,fixation,fixation,fixation,501,,,,,0,1,0,,,,,2,blue_B_study,word.png,button--grey-word.png
90,1609950828615,06/01/2021 16:33:48,1609950828579,0,06/01/2021 16:33:48,30809,16,task-x6zh,,8940620,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue B - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,BlueB-Study-Spreadsheet,BlueB-Study-Spreadsheet,10,42,2,study_stim,buttonA,response_button_image,1238,,,word.png,1,1,0,0,,,,,2,blue_B_study,word.png,button--grey-word.png
91,1609950829540,06/01/2021 16:33:49,1609950829496,0,06/01/2021 16:33:49,30809,16,task-x6zh,,8940620,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue B - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,BlueB-Study-Spreadsheet,BlueB-Study-Spreadsheet,42,43,1,fixation,fixation,fixation,498,,,,,0,1,0,,,,,2,blue_B_study,drawing.png,ladder--col-drawing.png
92,1609950830951,06/01/2021 16:33:50,1609950830914,0,06/01/2021 16:33:50,30809,16,task-x6zh,,8940620,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue B - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,BlueB-Study-Spreadsheet,BlueB-Study-Spreadsheet,42,43,2,study_stim,Zone2,response_button_image,1400,,,drawing.png,1,1,0,0,,,,,2,blue_B_study,drawing.png,ladder--col-drawing.png
93,1609950831875,06/01/2021 16:33:51,1609950831831,0,06/01/2021 16:33:51,30809,16,task-x6zh,,8940620,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue B - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,BlueB-Study-Spreadsheet,BlueB-Study-Spreadsheet,18,44,1,fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,blue_B_study,word.png,racoon--distinctive-word.png
94,1609950833344,06/01/2021 16:33:53,1609950833311,0,06/01/2021 16:33:53,30809,16,task-x6zh,,8940620,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue B - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,BlueB-Study-Spreadsheet,BlueB-Study-Spreadsheet,18,44,2,study_stim,buttonA,response_button_image,1461,,,word.png,1,1,0,0,,,,,2,blue_B_study,word.png,racoon--distinctive-word.png
95,1609950834280,06/01/2021 16:33:54,1609950834236,0,06/01/2021 16:33:54,30809,16,task-x6zh,,8940620,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue B - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,BlueB-Study-Spreadsheet,BlueB-Study-Spreadsheet,43,45,1,fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,blue_B_study,drawing.png,foot--col-drawing.png
96,1609950835719,06/01/2021 16:33:55,1609950835685,0,06/01/2021 16:33:55,30809,16,task-x6zh,,8940620,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue B - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,BlueB-Study-Spreadsheet,BlueB-Study-Spreadsheet,43,45,2,study_stim,Zone2,response_button_image,1432,,,drawing.png,1,1,0,0,,,,,2,blue_B_study,drawing.png,foot--col-drawing.png
97,1609950836639,06/01/2021 16:33:56,1609950836604,0,06/01/2021 16:33:56,30809,16,task-x6zh,,8940620,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue B - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,BlueB-Study-Spreadsheet,BlueB-Study-Spreadsheet,50,46,1,fixation,fixation,fixation,502,,,,,0,1,0,,,,,2,blue_B_study,photo.png,mouse--grey-photo.png
98,1609950837599,06/01/2021 16:33:57,1609950837573,0,06/01/2021 16:33:57,30809,16,task-x6zh,,8940620,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue B - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,BlueB-Study-Spreadsheet,BlueB-Study-Spreadsheet,50,46,2,study_stim,Zone2,response_button_image,950.0000000000146,,,drawing.png,1,0,1,0,,,,,2,blue_B_study,photo.png,mouse--grey-photo.png
99,1609950838644,06/01/2021 16:33:58,1609950838595,0,06/01/2021 16:33:58,30809,16,task-x6zh,,8940620,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue B - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,BlueB-Study-Spreadsheet,BlueB-Study-Spreadsheet,60,47,1,fixation,fixation,fixation,506,,,,,0,1,0,,,,,2,blue_B_study,photo.png,spoon--col-photo.png
100,1609950840651,06/01/2021 16:34:00,1609950840604,0,06/01/2021 16:34:00,30809,16,task-x6zh,,8940620,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue B - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,BlueB-Study-Spreadsheet,BlueB-Study-Spreadsheet,60,47,2,study_stim,Zone1,response_button_image,1989,,,photo.png,1,1,0,0,,,,,2,blue_B_study,photo.png,spoon--col-photo.png
101,1609950841573,06/01/2021 16:34:01,1609950841531,0,06/01/2021 16:34:01,30809,16,task-x6zh,,8940620,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue B - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,BlueB-Study-Spreadsheet,BlueB-Study-Spreadsheet,45,48,1,fixation,fixation,fixation,503,,,,,0,1,0,,,,,2,blue_B_study,photo.png,sheep--grey-photo.png
102,1609950843715,06/01/2021 16:34:03,1609950843673,0,06/01/2021 16:34:03,30809,16,task-x6zh,,8940620,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue B - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,BlueB-Study-Spreadsheet,BlueB-Study-Spreadsheet,45,48,2,study_stim,Zone1,response_button_image,2122,,,photo.png,1,1,0,0,,,,,2,blue_B_study,photo.png,sheep--grey-photo.png
103,1609950844698,06/01/2021 16:34:04,1609950844598,0,06/01/2021 16:34:04,30809,16,task-x6zh,,8940620,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue B - Study,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,BlueB-Study-Spreadsheet,BlueB-Study-Spreadsheet,28,49,1,fixation,fixation,fixation,499,,,,,0,1,0,,,,,2,blue_B_study,drawing.png,train--grey-drawing.png
