Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
74,1610015445380,07/01/2021 10:30:45,1610015441330,0,07/01/2021 10:30:41,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,30,34,2,study_stim,Zone2,response_button_image,1033.445000000036,,,drawing.png,1,1,0,0,,,,,2,green_B_study,drawing.png,pliers--grey-drawing.png
75,1610015446290,07/01/2021 10:30:46,1610015442250,0,07/01/2021 10:30:42,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,6,35,1,fixation,fixation,fixation,493.50800000000163,,,,,0,1,0,,,,,2,green_B_study,word.png,thimble--grey-word.png
76,1610015447344,07/01/2021 10:30:47,1610015443295,0,07/01/2021 10:30:43,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,6,35,2,study_stim,buttonA,response_button_image,1037.4300000000949,,,word.png,1,1,0,0,,,,,2,green_B_study,word.png,thimble--grey-word.png
77,1610015448266,07/01/2021 10:30:48,1610015444224,0,07/01/2021 10:30:44,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,26,36,1,fixation,fixation,fixation,493.502999999997,,,,,0,1,0,,,,,2,green_B_study,drawing.png,harp--grey-drawing.png
78,1610015449609,07/01/2021 10:30:49,1610015445567,0,07/01/2021 10:30:45,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,26,36,2,study_stim,Zone2,response_button_image,1335.350000000064,,,drawing.png,1,1,0,0,,,,,2,green_B_study,drawing.png,harp--grey-drawing.png
79,1610015450532,07/01/2021 10:30:50,1610015446491,0,07/01/2021 10:30:46,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,13,37,1,fixation,fixation,fixation,493.4969999999885,,,,,0,1,0,,,,,2,green_B_study,word.png,balloon--grey-word.png
80,1610015452064,07/01/2021 10:30:52,1610015448025,0,07/01/2021 10:30:48,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,13,37,2,study_stim,buttonA,response_button_image,1526.315000000075,,,word.png,1,1,0,0,,,,,2,green_B_study,word.png,balloon--grey-word.png
81,1610015453017,07/01/2021 10:30:53,1610015448945,0,07/01/2021 10:30:48,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,44,38,1,fixation,fixation,fixation,493.50500000000466,,,,,0,1,0,,,,,2,green_B_study,photo.png,snowman--grey-photo.png
82,1610015454647,07/01/2021 10:30:54,1610015450611,0,07/01/2021 10:30:50,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,44,38,2,study_stim,Zone1,response_button_image,1658.369999999879,,,photo.png,1,1,0,0,,,,,2,green_B_study,photo.png,snowman--grey-photo.png
83,1610015455585,07/01/2021 10:30:55,1610015451533,0,07/01/2021 10:30:51,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,4,39,1,fixation,fixation,fixation,493.50800000000163,,,,,0,1,0,,,,,2,green_B_study,word.png,flute--grey-word.png
