Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
25,1608203714121,17/12/2020 11:15:14,1608203714471,0,17/12/2020 11:15:14,30809,15,task-tk6j,,8699179,13901,2644646,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.60,1280x720,1280x720,Test finished,Purple B - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,PurpleB-Study-Spreadsheet,PurpleB-Study-Spreadsheet,16,10,1,fixation,fixation,fixation,499.6559999999954,,,,,0,1,0,,,,,2,purple_B_study,word.png,flower--distinctive-word.png
26,1608203715527,17/12/2020 11:15:15,1608203715876,0,17/12/2020 11:15:15,30809,15,task-tk6j,,8699179,13901,2644646,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.60,1280x720,1280x720,Test finished,Purple B - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,PurpleB-Study-Spreadsheet,PurpleB-Study-Spreadsheet,16,10,2,study_stim,buttonA,response_button_image,1390.335000003688,,,word.png,1,1,0,0,,,,,2,purple_B_study,word.png,flower--distinctive-word.png
27,1608203716449,17/12/2020 11:15:16,1608203716805,0,17/12/2020 11:15:16,30809,15,task-tk6j,,8699179,13901,2644646,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.60,1280x720,1280x720,Test finished,Purple B - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,PurpleB-Study-Spreadsheet,PurpleB-Study-Spreadsheet,9,11,1,fixation,fixation,fixation,499.90499999999884,,,,,0,1,0,,,,,2,purple_B_study,word.png,fence--grey-word.png
28,1608203717717,17/12/2020 11:15:17,1608203718075,0,17/12/2020 11:15:18,30809,15,task-tk6j,,8699179,13901,2644646,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.60,1280x720,1280x720,Test finished,Purple B - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,PurpleB-Study-Spreadsheet,PurpleB-Study-Spreadsheet,9,11,2,study_stim,buttonA,response_button_image,1249.164999986533,,,word.png,1,1,0,0,,,,,2,purple_B_study,word.png,fence--grey-word.png
29,1608203718639,17/12/2020 11:15:18,1608203718989,0,17/12/2020 11:15:18,30809,15,task-tk6j,,8699179,13901,2644646,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.60,1280x720,1280x720,Test finished,Purple B - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,PurpleB-Study-Spreadsheet,PurpleB-Study-Spreadsheet,37,12,1,fixation,fixation,fixation,499.70500000000175,,,,,0,1,0,,,,,2,purple_B_study,drawing.png,bell--col-drawing.png
30,1608203720139,17/12/2020 11:15:20,1608203720495,0,17/12/2020 11:15:20,30809,15,task-tk6j,,8699179,13901,2644646,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.60,1280x720,1280x720,Test finished,Purple B - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,PurpleB-Study-Spreadsheet,PurpleB-Study-Spreadsheet,37,12,2,study_stim,Zone2,response_button_image,1478.6249999888241,,,drawing.png,1,1,0,0,,,,,2,purple_B_study,drawing.png,bell--col-drawing.png
31,1608203721123,17/12/2020 11:15:21,1608203721422,0,17/12/2020 11:15:21,30809,15,task-tk6j,,8699179,13901,2644646,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.60,1280x720,1280x720,Test finished,Purple B - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,PurpleB-Study-Spreadsheet,PurpleB-Study-Spreadsheet,63,13,1,fixation,fixation,fixation,499.9300000000003,,,,,0,1,0,,,,,2,purple_B_study,photo.png,jacket--col-photo.png
32,1608203722421,17/12/2020 11:15:22,1608203722778,0,17/12/2020 11:15:22,30809,15,task-tk6j,,8699179,13901,2644646,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.60,1280x720,1280x720,Test finished,Purple B - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,PurpleB-Study-Spreadsheet,PurpleB-Study-Spreadsheet,63,13,2,study_stim,Zone1,response_button_image,1327.144999988377,,,photo.png,1,1,0,0,,,,,2,purple_B_study,photo.png,jacket--col-photo.png
33,1608203723346,17/12/2020 11:15:23,1608203723705,0,17/12/2020 11:15:23,30809,15,task-tk6j,,8699179,13901,2644646,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.60,1280x720,1280x720,Test finished,Purple B - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,PurpleB-Study-Spreadsheet,PurpleB-Study-Spreadsheet,28,14,1,fixation,fixation,fixation,499.86999999999534,,,,,0,1,0,,,,,2,purple_B_study,drawing.png,zebra--grey-drawing.png
34,1608203724586,17/12/2020 11:15:24,1608203724940,0,17/12/2020 11:15:24,30809,15,task-tk6j,,8699179,13901,2644646,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.60,1280x720,1280x720,Test finished,Purple B - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,PurpleB-Study-Spreadsheet,PurpleB-Study-Spreadsheet,28,14,2,study_stim,Zone2,response_button_image,1209.3849999946542,,,drawing.png,1,1,0,0,,,,,2,purple_B_study,drawing.png,zebra--grey-drawing.png
35,1608203725491,17/12/2020 11:15:25,1608203725854,0,17/12/2020 11:15:25,30809,15,task-tk6j,,8699179,13901,2644646,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.60,1280x720,1280x720,Test finished,Purple B - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,PurpleB-Study-Spreadsheet,PurpleB-Study-Spreadsheet,7,15,1,fixation,fixation,fixation,499.8660000000018,,,,,0,1,0,,,,,2,purple_B_study,word.png,chair--grey-word.png
36,1608203729242,17/12/2020 11:15:29,1608203727112,0,17/12/2020 11:15:27,30809,15,task-tk6j,,8699179,13901,2644646,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.60,1280x720,1280x720,Test finished,Purple B - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,PurpleB-Study-Spreadsheet,PurpleB-Study-Spreadsheet,7,15,2,study_stim,buttonA,response_button_image,1232.830000051763,,,word.png,1,1,0,0,,,,,2,purple_B_study,word.png,chair--grey-word.png
37,1608203729335,17/12/2020 11:15:29,1608203728037,0,17/12/2020 11:15:28,30809,15,task-tk6j,,8699179,13901,2644646,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.60,1280x720,1280x720,Test finished,Purple B - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,PurpleB-Study-Spreadsheet,PurpleB-Study-Spreadsheet,45,16,1,fixation,fixation,fixation,499.8309999999983,,,,,0,1,0,,,,,2,purple_B_study,photo.png,thimble--grey-photo.png
38,1608203730086,17/12/2020 11:15:30,1608203730448,0,17/12/2020 11:15:30,30809,15,task-tk6j,,8699179,13901,2644646,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.60,1280x720,1280x720,Test finished,Purple B - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,PurpleB-Study-Spreadsheet,PurpleB-Study-Spreadsheet,45,16,2,study_stim,Zone1,response_button_image,2389.454999996815,,,photo.png,1,1,0,0,,,,,2,purple_B_study,photo.png,thimble--grey-photo.png
39,1608203731012,17/12/2020 11:15:31,1608203731370,0,17/12/2020 11:15:31,30809,15,task-tk6j,,8699179,13901,2644646,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.60,1280x720,1280x720,Test finished,Purple B - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,PurpleB-Study-Spreadsheet,PurpleB-Study-Spreadsheet,10,17,1,fixation,fixation,fixation,499.91100000000006,,,,,0,1,0,,,,,2,purple_B_study,word.png,bread--grey-word.png
40,1608203732392,17/12/2020 11:15:32,1608203732730,0,17/12/2020 11:15:32,30809,15,task-tk6j,,8699179,13901,2644646,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.60,1280x720,1280x720,Test finished,Purple B - Study,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,PurpleB-Study-Spreadsheet,PurpleB-Study-Spreadsheet,10,17,2,study_stim,buttonA,response_button_image,1334.229999978561,,,word.png,1,1,0,0,,,,,2,purple_B_study,word.png,bread--grey-word.png
