Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
25,1607069760306,04/12/2020 08:16:00,1607069760363,0,04/12/2020 08:16:00,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,86,1,3,Fixation,fixation,fixation,500.40000000000146,,,,,0,1,0,,,,,2,orange_test,peacock--grey-word.png,new.png
26,1607069761373,04/12/2020 08:16:01,1607069761621,0,04/12/2020 08:16:01,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,106,2,1,OldNew,old,response_button_image,1189.1049998812377,,,old.png,1,0,1,0,,,,,2,orange_test,skirt--col-drawing.png,new.png
27,1607069762483,04/12/2020 08:16:02,1607069762725,0,04/12/2020 08:16:02,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,106,2,2,RFG,old,response_button_image,859.995000064373,,,recollection.png,1,0,1,0,,,,,2,orange_test,skirt--col-drawing.png,new.png
28,1607069763158,04/12/2020 08:16:03,1607069763415,0,04/12/2020 08:16:03,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,106,2,3,Fixation,fixation,fixation,500.3859999999986,,,,,0,1,0,,,,,2,orange_test,skirt--col-drawing.png,new.png
29,1607069764491,04/12/2020 08:16:04,1607069764742,0,04/12/2020 08:16:04,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,65,3,1,OldNew,old,response_button_image,1260.380000108853,,,old.png,1,0,1,0,,,,,2,orange_test,kite--col-drawing.png,new.png
30,1607069767348,04/12/2020 08:16:07,1607069767589,0,04/12/2020 08:16:07,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,65,3,2,RFG,old,response_button_image,2610.6000000145286,,,recollection.png,1,0,1,0,,,,,2,orange_test,kite--col-drawing.png,new.png
31,1607069768036,04/12/2020 08:16:08,1607069768285,0,04/12/2020 08:16:08,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,65,3,3,Fixation,fixation,fixation,500.34100000000035,,,,,0,1,0,,,,,2,orange_test,kite--col-drawing.png,new.png
32,1607069770364,04/12/2020 08:16:10,1607069770614,0,04/12/2020 08:16:10,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,90,4,1,OldNew,new,response_button_image,2268.0800000671297,,,new.png,1,1,0,0,,,,,2,orange_test,penguin--grey-word.png,new.png
33,1607069771055,04/12/2020 08:16:11,1607069771304,0,04/12/2020 08:16:11,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,90,4,3,Fixation,fixation,fixation,500.34999999999854,,,,,0,1,0,,,,,2,orange_test,penguin--grey-word.png,new.png
34,1607069772461,04/12/2020 08:16:12,1607069772700,0,04/12/2020 08:16:12,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,64,5,1,OldNew,new,response_button_image,1329.8550001345575,,,new.png,1,1,0,0,,,,,2,orange_test,kettle--grey-drawing.png,new.png
