Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
78,1609951180342,06/01/2021 16:39:40,1609951180293,0,06/01/2021 16:39:40,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,33,23,3,Fixation,fixation,fixation,502,,,,,0,1,0,,,,,2,blue_test,chicken--grey-photo.png,new.png
79,1609951182155,06/01/2021 16:39:42,1609951182104,0,06/01/2021 16:39:42,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,78,24,1,OldNew,new,response_button_image,1785,,,new.png,1,1,0,0,,,,,2,blue_test,mouse--grey-photo.png,new.png
80,1609951182873,06/01/2021 16:39:42,1609951182814,0,06/01/2021 16:39:42,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,78,24,3,Fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,blue_test,mouse--grey-photo.png,new.png
81,1609951184686,06/01/2021 16:39:44,1609951184642,0,06/01/2021 16:39:44,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,91,25,1,OldNew,new,response_button_image,1803,,,new.png,1,1,0,0,,,,,2,blue_test,pepper--grey-drawing.png,new.png
82,1609951185405,06/01/2021 16:39:45,1609951185350,0,06/01/2021 16:39:45,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,91,25,3,Fixation,fixation,fixation,502,,,,,0,1,0,,,,,2,blue_test,pepper--grey-drawing.png,new.png
83,1609951188288,06/01/2021 16:39:48,1609951188240,0,06/01/2021 16:39:48,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,80,26,1,OldNew,new,response_button_image,2865,,,new.png,1,1,0,0,,,,,2,blue_test,needle--col-photo.png,new.png
84,1609951189009,06/01/2021 16:39:49,1609951188952,0,06/01/2021 16:39:48,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,80,26,3,Fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,blue_test,needle--col-photo.png,new.png
85,1609951190353,06/01/2021 16:39:50,1609951190301,0,06/01/2021 16:39:50,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,25,27,1,OldNew,old,response_button_image,1323,,,old.png,1,0,1,0,,,,,2,blue_test,button--grey-word.png,new.png
86,1609951191102,06/01/2021 16:39:51,1609951191042,0,06/01/2021 16:39:51,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,25,27,2,RFG,old,response_button_image,521,,,recollection.png,1,0,1,0,,,,,2,blue_test,button--grey-word.png,new.png
87,1609951191806,06/01/2021 16:39:51,1609951191751,0,06/01/2021 16:39:51,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,25,27,3,Fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,blue_test,button--grey-word.png,new.png
88,1609951192884,06/01/2021 16:39:52,1609951192829,0,06/01/2021 16:39:52,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,121,28,1,OldNew,old,response_button_image,1050,,,old.png,1,0,1,0,,,,,2,blue_test,tomato--col-photo.png,new.png
89,1609951193509,06/01/2021 16:39:53,1609951193456,0,06/01/2021 16:39:53,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,121,28,2,RFG,old,response_button_image,401,,,recollection.png,1,0,1,0,,,,,2,blue_test,tomato--col-photo.png,new.png
90,1609951194212,06/01/2021 16:39:54,1609951194165,0,06/01/2021 16:39:54,30809,16,task-kh1z,,8940789,%b%,2720422,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1440x900,Test finished,Blue Test,2,Consent Given,Consented,Test finished,blue_group,Blue,,,blue_B,,,,,,,Blue B: study finished,,,Distractor finished,,,,,,,Blue-Test-Spreadsheet,Blue-Test-Spreadsheet,121,28,3,Fixation,fixation,fixation,502,,,,,0,1,0,,,,,2,blue_test,tomato--col-photo.png,new.png
