Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
28,1607339040866,07/12/2020 11:04:00,1607339040831,0,07/12/2020 11:04:00,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,56,11,2,study_stim,Zone1,response_button_image,1584,,,photo.png,1,1,0,0,,,,,2,orange_A_study,photo.png,fence--col-photo.png
29,1607339041805,07/12/2020 11:04:01,1607339041761,0,07/12/2020 11:04:01,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,27,12,1,fixation,fixation,fixation,502,,,,,0,1,0,,,,,2,orange_A_study,drawing.png,house--grey-drawing.png
30,1607339042867,07/12/2020 11:04:02,1607339042786,0,07/12/2020 11:04:02,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,27,12,2,study_stim,Zone2,response_button_image,1015,,,drawing.png,1,1,0,0,,,,,2,orange_A_study,drawing.png,house--grey-drawing.png
31,1607339043867,07/12/2020 11:04:03,1607339043719,0,07/12/2020 11:04:03,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,32,13,1,fixation,fixation,fixation,503,,,,,0,1,0,,,,,2,orange_A_study,drawing.png,flute--grey-drawing.png
32,1607339044759,07/12/2020 11:04:04,1607339044724,0,07/12/2020 11:04:04,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,32,13,2,study_stim,Zone2,response_button_image,994.9999999999927,,,drawing.png,1,1,0,0,,,,,2,orange_A_study,drawing.png,flute--grey-drawing.png
33,1607339045683,07/12/2020 11:04:05,1607339045648,0,07/12/2020 11:04:05,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,54,14,1,fixation,fixation,fixation,503,,,,,0,1,0,,,,,2,orange_A_study,photo.png,chain--col-photo.png
34,1607339047345,07/12/2020 11:04:07,1607339047300,0,07/12/2020 11:04:07,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,54,14,2,study_stim,Zone1,response_button_image,1642,,,photo.png,1,1,0,0,,,,,2,orange_A_study,photo.png,chain--col-photo.png
35,1607339048267,07/12/2020 11:04:08,1607339048230,0,07/12/2020 11:04:08,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,55,15,1,fixation,fixation,fixation,499,,,,,0,1,0,,,,,2,orange_A_study,photo.png,peanut--col-photo.png
36,1607339049939,07/12/2020 11:04:09,1607339049893,0,07/12/2020 11:04:09,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,55,15,2,study_stim,Zone1,response_button_image,1650.9999999999927,,,photo.png,1,1,0,0,,,,,2,orange_A_study,photo.png,peanut--col-photo.png
37,1607339050897,07/12/2020 11:04:10,1607339050820,0,07/12/2020 11:04:10,30809,14,task-u4ig,,8375748,14650,2552970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x900,Test finished,Orange A - Study,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,Orange A: study finished,,,,orange_A,,OrangeA-Study-Spreadsheet,OrangeA-Study-Spreadsheet,44,16,1,fixation,fixation,fixation,507,,,,,0,1,0,,,,,2,orange_A_study,photo.png,horse--grey-photo.png
