Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Randomise questionnaire elements?,Question Key,Response
11,1601374067655,29/09/2020 10:07:47,1601374067589,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,response-4,
12,1601374067655,29/09/2020 10:07:47,1601374067589,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,ethnicity3,
13,1601374067655,29/09/2020 10:07:47,1601374067590,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,mixed_other,
14,1601374067655,29/09/2020 10:07:47,1601374067590,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,response-6,
15,1601374067655,29/09/2020 10:07:47,1601374067590,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,response-7,
16,1601374067655,29/09/2020 10:07:47,1601374067590,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,response-9,
17,1601374067655,29/09/2020 10:07:47,1601374067590,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,response-15,
18,1601374067655,29/09/2020 10:07:47,1601374067591,1,29/09/2020 11:07:47,10169,131,questionnaire-hq4r,,6998030,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1905x940,Test_Checkpoint,C. Demographics,10,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,24866
1,1601377125211,29/09/2020 10:58:45,1601377125911,1,29/09/2020 11:58:45,10169,131,questionnaire-hq4r,,6998649,5f4f69faf3505f0109ed9e75,2021064,,complete,,5f73134f424c7803e9a9fcf2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x657,Test_Checkpoint,C. Demographics,10,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377143113,29/09/2020 10:59:03,1601377143834,1,29/09/2020 11:59:03,10169,131,questionnaire-hq4r,,6998649,5f4f69faf3505f0109ed9e75,2021064,,complete,,5f73134f424c7803e9a9fcf2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,Test_Checkpoint,C. Demographics,10,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,age,26
3,1601377143207,29/09/2020 10:59:03,1601377143835,1,29/09/2020 11:59:03,10169,131,questionnaire-hq4r,,6998649,5f4f69faf3505f0109ed9e75,2021064,,complete,,5f73134f424c7803e9a9fcf2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,Test_Checkpoint,C. Demographics,10,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,age-quantised,9
4,1601377143207,29/09/2020 10:59:03,1601377143835,1,29/09/2020 11:59:03,10169,131,questionnaire-hq4r,,6998649,5f4f69faf3505f0109ed9e75,2021064,,complete,,5f73134f424c7803e9a9fcf2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,Test_Checkpoint,C. Demographics,10,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,gender,female
5,1601377143207,29/09/2020 10:59:03,1601377143835,1,29/09/2020 11:59:03,10169,131,questionnaire-hq4r,,6998649,5f4f69faf3505f0109ed9e75,2021064,,complete,,5f73134f424c7803e9a9fcf2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,Test_Checkpoint,C. Demographics,10,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,EngFirstLang,Yes
6,1601377143207,29/09/2020 10:59:03,1601377143835,1,29/09/2020 11:59:03,10169,131,questionnaire-hq4r,,6998649,5f4f69faf3505f0109ed9e75,2021064,,complete,,5f73134f424c7803e9a9fcf2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,Test_Checkpoint,C. Demographics,10,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,EngFirstLang-quantised,1
7,1601377143207,29/09/2020 10:59:03,1601377143835,1,29/09/2020 11:59:03,10169,131,questionnaire-hq4r,,6998649,5f4f69faf3505f0109ed9e75,2021064,,complete,,5f73134f424c7803e9a9fcf2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,Test_Checkpoint,C. Demographics,10,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,ethnicity,White
8,1601377143207,29/09/2020 10:59:03,1601377143835,1,29/09/2020 11:59:03,10169,131,questionnaire-hq4r,,6998649,5f4f69faf3505f0109ed9e75,2021064,,complete,,5f73134f424c7803e9a9fcf2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,Test_Checkpoint,C. Demographics,10,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,ethnicity-quantised,1
9,1601377143207,29/09/2020 10:59:03,1601377143835,1,29/09/2020 11:59:03,10169,131,questionnaire-hq4r,,6998649,5f4f69faf3505f0109ed9e75,2021064,,complete,,5f73134f424c7803e9a9fcf2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,Test_Checkpoint,C. Demographics,10,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,white_other,
