Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
48,1591781866269,10/06/2020 09:37:46,1591781864785,1,10/06/2020 10:37:44,10169,127,task-qw7d,,5543589,5ebc1b7a5154270187892ece,1545108,,complete,,5ee0a90277b7da3e8226fa19,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 83.0.4103.97,2560x1440,2560x1440,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_6_col_spreadsheet,43,21,2,stim_6_col,buttonB,response_button_image,1656.940000000075,,photograph.png,1,1,0,0,,,,,2,study_6_col,photograph.png,col_photo_spoon2.png
49,1591781867191,10/06/2020 09:37:47,1591781865704,1,10/06/2020 10:37:45,10169,127,task-qw7d,,5543589,5ebc1b7a5154270187892ece,1545108,,complete,,5ee0a90277b7da3e8226fa19,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 83.0.4103.97,2560x1440,2560x1440,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_6_col_spreadsheet,46,22,1,fixation,fixation,fixation,500.04000000000815,,,,0,1,0,,,,,2,study_6_col,word.png,word_belt.png
50,1591781868488,10/06/2020 09:37:48,1591781867003,1,10/06/2020 10:37:47,10169,127,task-qw7d,,5543589,5ebc1b7a5154270187892ece,1545108,,complete,,5ee0a90277b7da3e8226fa19,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 83.0.4103.97,2560x1440,2560x1440,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_6_col_spreadsheet,46,22,2,stim_6_col,buttonA,response_button_image,1291.2099999998609,,word.png,1,1,0,0,,,,,2,study_6_col,word.png,word_belt.png
51,1591781869415,10/06/2020 09:37:49,1591781867921,1,10/06/2020 10:37:47,10169,127,task-qw7d,,5543589,5ebc1b7a5154270187892ece,1545108,,complete,,5ee0a90277b7da3e8226fa19,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 83.0.4103.97,2560x1440,2560x1440,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_6_col_spreadsheet,52,23,1,fixation,fixation,fixation,500.04000000000815,,,,0,1,0,,,,,2,study_6_col,word.png,word_flower.png
52,1591781870428,10/06/2020 09:37:50,1591781868937,1,10/06/2020 10:37:48,10169,127,task-qw7d,,5543589,5ebc1b7a5154270187892ece,1545108,,complete,,5ee0a90277b7da3e8226fa19,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 83.0.4103.97,2560x1440,2560x1440,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_6_col_spreadsheet,52,23,2,stim_6_col,buttonA,response_button_image,1007.8649999998161,,word.png,1,1,0,0,,,,,2,study_6_col,word.png,word_flower.png
53,1591781871350,10/06/2020 09:37:51,1591781869855,1,10/06/2020 10:37:49,10169,127,task-qw7d,,5543589,5ebc1b7a5154270187892ece,1545108,,complete,,5ee0a90277b7da3e8226fa19,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 83.0.4103.97,2560x1440,2560x1440,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_6_col_spreadsheet,12,24,1,fixation,fixation,fixation,502.01100000001315,,,,0,1,0,,,,,2,study_6_col,line-drawing.png,col_line_crown.png
54,1591781872815,10/06/2020 09:37:52,1591781871322,1,10/06/2020 10:37:51,10169,127,task-qw7d,,5543589,5ebc1b7a5154270187892ece,1545108,,complete,,5ee0a90277b7da3e8226fa19,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 83.0.4103.97,2560x1440,2560x1440,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_6_col_spreadsheet,12,24,2,stim_6_col,Zone1,response_button_image,1458.3250000000553,,line-drawing.png,1,1,0,0,,,,,2,study_6_col,line-drawing.png,col_line_crown.png
55,1591781873721,10/06/2020 09:37:53,1591781872239,1,10/06/2020 10:37:52,10169,127,task-qw7d,,5543589,5ebc1b7a5154270187892ece,1545108,,complete,,5ee0a90277b7da3e8226fa19,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 83.0.4103.97,2560x1440,2560x1440,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_6_col_spreadsheet,34,25,1,fixation,fixation,fixation,500.0399999999936,,,,0,1,0,,,,,2,study_6_col,photograph.png,col_photo_lock3.png
56,1591781875256,10/06/2020 09:37:55,1591781873740,1,10/06/2020 10:37:53,10169,127,task-qw7d,,5543589,5ebc1b7a5154270187892ece,1545108,,complete,,5ee0a90277b7da3e8226fa19,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 83.0.4103.97,2560x1440,2560x1440,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_6_col_spreadsheet,34,25,2,stim_6_col,buttonB,response_button_image,1493.064999999886,,photograph.png,1,1,0,0,,,,,2,study_6_col,photograph.png,col_photo_lock3.png
57,1591781876162,10/06/2020 09:37:56,1591781874656,1,10/06/2020 10:37:54,10169,127,task-qw7d,,5543589,5ebc1b7a5154270187892ece,1545108,,complete,,5ee0a90277b7da3e8226fa19,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 83.0.4103.97,2560x1440,2560x1440,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_6_col_spreadsheet,39,26,1,fixation,fixation,fixation,500.0399999999936,,,,0,1,0,,,,,2,study_6_col,photograph.png,col_photo_shoe1.png
