Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
22,1591466233234,06/06/2020 17:57:13,1591466233126,-3,06/06/2020 14:57:13,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,13,8,2,stim_5_grey,Zone1,response_button_image,835,,line-drawing.png,1,1,0,0,,,,,2,study_5_grey,line-drawing.png,grey_line_lock.png
23,1591466234126,06/06/2020 17:57:14,1591466234044,-3,06/06/2020 14:57:14,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,15,9,1,fixation,fixation,fixation,500,,,,0,1,0,,,,,2,study_5_grey,line-drawing.png,grey_line_plug.png
24,1591466234885,06/06/2020 17:57:14,1591466234794,-3,06/06/2020 14:57:14,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,15,9,2,stim_5_grey,Zone1,response_button_image,736,,line-drawing.png,1,1,0,0,,,,,2,study_5_grey,line-drawing.png,grey_line_plug.png
25,1591466235792,06/06/2020 17:57:15,1591466235711,-3,06/06/2020 14:57:15,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,31,10,1,fixation,fixation,fixation,500,,,,0,1,0,,,,,2,study_5_grey,photograph.png,grey_photo_flower3.png
26,1591466237328,06/06/2020 17:57:17,1591466237259,-3,06/06/2020 14:57:17,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,31,10,2,stim_5_grey,buttonB,response_button_image,1534.0000000000073,,photograph.png,1,1,0,0,,,,,2,study_5_grey,photograph.png,grey_photo_flower3.png
27,1591466238250,06/06/2020 17:57:18,1591466238177,-3,06/06/2020 14:57:18,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,54,11,1,fixation,fixation,fixation,500,,,,0,1,0,,,,,2,study_5_grey,word.png,word_crown.png
28,1591466239504,06/06/2020 17:57:19,1591466239423,-3,06/06/2020 14:57:19,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,54,11,2,stim_5_grey,buttonA,response_button_image,1232,,word.png,1,1,0,0,,,,,2,study_5_grey,word.png,word_crown.png
29,1591466240423,06/06/2020 17:57:20,1591466240345,-3,06/06/2020 14:57:20,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,9,12,1,fixation,fixation,fixation,500,,,,0,1,0,,,,,2,study_5_grey,line-drawing.png,grey_line_kite.png
30,1591466241634,06/06/2020 17:57:21,1591466241564,-3,06/06/2020 14:57:21,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,9,12,2,stim_5_grey,Zone1,response_button_image,1204,,line-drawing.png,1,1,0,0,,,,,2,study_5_grey,line-drawing.png,grey_line_kite.png
31,1591466242558,06/06/2020 17:57:22,1591466242477,-3,06/06/2020 14:57:22,19134,4,task-6xh1,,5447162,q6n4d0zm,1515839,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Safari 12.1.1,1440x900,1440x900,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,34,13,1,fixation,fixation,fixation,499,,,,0,1,0,,,,,2,study_5_grey,photograph.png,grey_photo_guitar1.png
