Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,question,ShowProgressBar,ans1,ans2,ans3,ans4,correct,total,incorrect,Formatted-answer
44,1591836038604,11/06/2020 00:40:38,1591836032521,-5,10/06/2020 19:40:32,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,16,14,4,Blank,Zone1,timelimit_screen,16.665000000000873,,,,0,1,0,,,1,,1,MathQ,12,<h4>6 x 2 =</h4>,1,12,14,16,18,correct_1,total_1,incorrect_1,<h4>12</h4>
45,1591836038604,11/06/2020 00:40:38,1591836033771,-5,10/06/2020 19:40:33,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,14,15,1,Questions,buttonA,response_button_text,1103.235000000037,,36,1,1,0,0,,,,,1,MathQ,36,<h4>9 x 4 =</h4>,1,36,42,27,38,correct_1,total_1,incorrect_1,<h4>36</h4>
46,1591836038604,11/06/2020 00:40:38,1591836034752,-5,10/06/2020 19:40:34,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,14,15,3,Correct,Zone7,timelimit_screen,1000.5349999999962,,,,0,1,0,,,1,,1,MathQ,36,<h4>9 x 4 =</h4>,1,36,42,27,38,correct_1,total_1,incorrect_1,<h4>36</h4>
47,1591836038604,11/06/2020 00:40:38,1591836034771,-5,10/06/2020 19:40:34,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,14,15,4,Blank,Zone1,timelimit_screen,16.665000000000873,,,,0,1,0,,,1,,1,MathQ,36,<h4>9 x 4 =</h4>,1,36,42,27,38,correct_1,total_1,incorrect_1,<h4>36</h4>
48,1591836039823,11/06/2020 00:40:39,1591836035875,-5,10/06/2020 19:40:35,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,2,16,1,Questions,buttonA,response_button_text,976.5150000000649,,18,1,1,0,0,,,,,1,MathQ,18,<h4>3 x 6 =</h4>,1,18,16,17,19,correct_1,total_1,incorrect_1,<h3>18</h3>
49,1591836039823,11/06/2020 00:40:39,1591836036870,-5,10/06/2020 19:40:36,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,2,16,3,Correct,Zone7,timelimit_screen,1000.5120000000024,,,,0,1,0,,,1,,1,MathQ,18,<h4>3 x 6 =</h4>,1,18,16,17,19,correct_1,total_1,incorrect_1,<h3>18</h3>
50,1591836039823,11/06/2020 00:40:39,1591836036891,-5,10/06/2020 19:40:36,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,2,16,4,Blank,Zone1,timelimit_screen,16.665000000000873,,,,0,1,0,,,1,,1,MathQ,18,<h4>3 x 6 =</h4>,1,18,16,17,19,correct_1,total_1,incorrect_1,<h3>18</h3>
51,1591836039823,11/06/2020 00:40:39,1591836038020,-5,10/06/2020 19:40:38,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,7,17,1,Questions,buttonA,response_button_text,988.8599999999278,,49,1,1,0,0,,,,,1,MathQ,49,<h4>7 x 7 = </h4>,1,49,56,42,47,correct_1,total_1,incorrect_1,<h4>49</h4>
52,1591836040448,11/06/2020 00:40:40,1591836039005,-5,10/06/2020 19:40:39,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,7,17,3,Correct,Zone7,timelimit_screen,1000.4679999999935,,,,0,1,0,,,1,,1,MathQ,49,<h4>7 x 7 = </h4>,1,49,56,42,47,correct_1,total_1,incorrect_1,<h4>49</h4>
53,1591836040448,11/06/2020 00:40:40,1591836039025,-5,10/06/2020 19:40:39,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,7,17,4,Blank,Zone1,timelimit_screen,16.665000000000873,,,,0,1,0,,,1,,1,MathQ,49,<h4>7 x 7 = </h4>,1,49,56,42,47,correct_1,total_1,incorrect_1,<h4>49</h4>
