Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
33,1601548282816,01/10/2020 10:31:22,1601548282771,1,01/10/2020 11:31:22,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,62,14,1,fixation,fixation,fixation,500.51199999999517,,,,0,1,0,,,,,2,study_5_grey,word.png,word_orange.png
34,1601548284285,01/10/2020 10:31:24,1601548284235,1,01/10/2020 11:31:24,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,62,14,2,stim_5_grey,buttonA,response_button_image,1455.0249999738298,,word.png,1,1,0,0,,,,,2,study_5_grey,word.png,word_orange.png
35,1601548285301,01/10/2020 10:31:25,1601548285157,1,01/10/2020 11:31:25,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,29,15,1,fixation,fixation,fixation,500.6489999999976,,,,0,1,0,,,,,2,study_5_grey,photograph.png,grey_photo_duck2.png
36,1601548286193,01/10/2020 10:31:26,1601548286139,1,01/10/2020 11:31:26,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,29,15,2,stim_5_grey,buttonB,response_button_image,971.735000028275,,photograph.png,1,1,0,0,,,,,2,study_5_grey,photograph.png,grey_photo_duck2.png
37,1601548287120,01/10/2020 10:31:27,1601548287059,1,01/10/2020 11:31:27,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,61,16,1,fixation,fixation,fixation,500.6050000000032,,,,0,1,0,,,,,2,study_5_grey,word.png,word_lion.png
38,1601548288230,01/10/2020 10:31:28,1601548288170,1,01/10/2020 11:31:28,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,61,16,2,stim_5_grey,buttonA,response_button_image,1101.0349999996834,,word.png,1,1,0,0,,,,,2,study_5_grey,word.png,word_lion.png
39,1601548289138,01/10/2020 10:31:29,1601548289095,1,01/10/2020 11:31:29,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,50,17,1,fixation,fixation,fixation,500.47299999999814,,,,0,1,0,,,,,2,study_5_grey,word.png,word_button.png
40,1601548290149,01/10/2020 10:31:30,1601548290107,1,01/10/2020 11:31:30,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,50,17,2,stim_5_grey,buttonA,response_button_image,1002.3700000019744,,word.png,1,1,0,0,,,,,2,study_5_grey,word.png,word_button.png
41,1601548291074,01/10/2020 10:31:31,1601548291030,1,01/10/2020 11:31:31,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,12,18,1,fixation,fixation,fixation,500.66100000000006,,,,0,1,0,,,,,2,study_5_grey,line-drawing.png,grey_line_lobster.png
42,1601548292261,01/10/2020 10:31:32,1601548292211,1,01/10/2020 11:31:32,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,12,18,2,stim_5_grey,Zone1,response_button_image,1170.7400000304915,,line-drawing.png,1,1,0,0,,,,,2,study_5_grey,line-drawing.png,grey_line_lobster.png
