Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
37,1583967732941,11/03/2020 23:02:12,1583967731796,0,11/03/2020 23:02:11,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,124,6,1,OldNew,new,response_button_image,784.404999925755,,new.png,1,1,0,0,,,,,2,test_B_grey,word_needle.png,new.png
38,1583967733644,11/03/2020 23:02:13,1583967732467,0,11/03/2020 23:02:12,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,124,6,3,Fixation,fixation,fixation,499.9250000000029,,,,0,1,0,,,,,2,test_B_grey,word_needle.png,new.png
39,1583967734785,11/03/2020 23:02:14,1583967733631,0,11/03/2020 23:02:13,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,44,7,1,OldNew,new,response_button_image,1103.9599999785423,,new.png,1,1,0,0,,,,,2,test_B_grey,grey_line_snail.png,new.png
40,1583967735458,11/03/2020 23:02:15,1583967734301,0,11/03/2020 23:02:14,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,44,7,3,Fixation,fixation,fixation,499.9270000000033,,,,0,1,0,,,,,2,test_B_grey,grey_line_snail.png,new.png
41,1583967736819,11/03/2020 23:02:16,1583967735670,0,11/03/2020 23:02:15,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,91,8,1,OldNew,old,response_button_image,1311.3049999810755,,old.png,1,0,1,0,,,,,2,test_B_grey,grey_photo_violin1.png,new.png
42,1583967737632,11/03/2020 23:02:17,1583967736488,0,11/03/2020 23:02:16,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,91,8,2,RFBG,old,response_button_image,577.4699999019504,,recollection.png,1,0,1,0,,,,,2,test_B_grey,grey_photo_violin1.png,new.png
43,1583967738340,11/03/2020 23:02:18,1583967737172,0,11/03/2020 23:02:17,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,91,8,3,Fixation,fixation,fixation,499.79499999999825,,,,0,1,0,,,,,2,test_B_grey,grey_photo_violin1.png,new.png
44,1583967739544,11/03/2020 23:02:19,1583967738400,0,11/03/2020 23:02:18,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,84,9,1,OldNew,old,response_button_image,1136.214999947697,,old.png,1,0,1,0,,,,,2,test_B_grey,grey_photo_screw3.png,new.png
45,1583967740529,11/03/2020 23:02:20,1583967739388,0,11/03/2020 23:02:19,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,84,9,2,RFBG,old,response_button_image,729.0500000817701,,recollection.png,1,0,1,0,,,,,2,test_B_grey,grey_photo_screw3.png,new.png
46,1583967741232,11/03/2020 23:02:21,1583967740072,0,11/03/2020 23:02:20,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,84,9,3,Fixation,fixation,fixation,499.9290000000037,,,,0,1,0,,,,,2,test_B_grey,grey_photo_screw3.png,new.png
