Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
8,1601548341925,01/10/2020 10:32:21,1601548346218,10,01/10/2020 20:32:26,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,16,1,2,stim_1_grey,Zone1,response_button_image,1696.7150000855327,,line-drawing.png,1,1,0,0,,,,,2,study_1_grey,line-drawing.png,grey_line_mouse.png
9,1601548352626,01/10/2020 10:32:32,1601548356691,10,01/10/2020 20:32:36,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,,,,,,,,LOADING DELAY,,A loading delay of more than 10s was detected.,,0,1,0,,,,,,,,
10,1601548357333,01/10/2020 10:32:37,1601548359930,10,01/10/2020 20:32:39,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,36,2,1,fixation,fixation,fixation,499.99900000000343,,,,0,1,0,,,,,2,study_1_grey,photograph.png,grey_photo_fence3.png
11,1601548357848,01/10/2020 10:32:37,1601548361844,10,01/10/2020 20:32:41,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,36,2,2,stim_1_grey,buttonB,response_button_image,1814.5049999002367,,photograph.png,1,1,0,0,,,,,2,study_1_grey,photograph.png,grey_photo_fence3.png
12,1601548358411,01/10/2020 10:32:38,1601548362729,10,01/10/2020 20:32:42,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,26,3,1,fixation,fixation,fixation,500.0020000000004,,,,0,1,0,,,,,2,study_1_grey,photograph.png,grey_photo_balloon3.png
13,1601548360052,01/10/2020 10:32:40,1601548364411,10,01/10/2020 20:32:44,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,26,3,2,stim_1_grey,Zone1,response_button_image,1571.2699999567121,,line-drawing.png,1,0,1,0,,,,,2,study_1_grey,photograph.png,grey_photo_balloon3.png
14,1601548361037,01/10/2020 10:32:41,1601548365294,10,01/10/2020 20:32:45,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,61,4,1,fixation,fixation,fixation,500.03600000000006,,,,0,1,0,,,,,2,study_1_grey,word.png,word_seal.png
15,1601548362435,01/10/2020 10:32:42,1601548366771,10,01/10/2020 20:32:46,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,61,4,2,stim_1_grey,buttonA,response_button_image,1379.9350000917912,,word.png,1,1,0,0,,,,,2,study_1_grey,word.png,word_seal.png
16,1601548368710,01/10/2020 10:32:48,1601548373061,10,01/10/2020 20:32:53,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,19,5,1,fixation,fixation,fixation,499.94199999999546,,,,0,1,0,,,,,2,study_1_grey,line-drawing.png,grey_line_stool.png
17,1601548370198,01/10/2020 10:32:50,1601548374567,10,01/10/2020 20:32:54,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,19,5,2,stim_1_grey,Zone1,response_button_image,1411.155000096187,,line-drawing.png,1,1,0,0,,,,,2,study_1_grey,line-drawing.png,grey_line_stool.png
18,1601548371104,01/10/2020 10:32:51,1601548375461,10,01/10/2020 20:32:55,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,56,6,1,fixation,fixation,fixation,499.99199999999837,,,,0,1,0,,,,,2,study_1_grey,word.png,word_pepper.png
19,1601548372464,01/10/2020 10:32:52,1601548376782,10,01/10/2020 20:32:56,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,56,6,2,stim_1_grey,buttonA,response_button_image,1224.320000037551,,word.png,1,1,0,0,,,,,2,study_1_grey,word.png,word_pepper.png
20,1601548373339,01/10/2020 10:32:53,1601548377677,10,01/10/2020 20:32:57,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,41,7,1,fixation,fixation,fixation,500.02700000000186,,,,0,1,0,,,,,2,study_1_grey,photograph.png,grey_photo_pliers2.png
21,1601548374835,01/10/2020 10:32:54,1601548379129,10,01/10/2020 20:32:59,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,41,7,2,stim_1_grey,buttonB,response_button_image,1333.515000063926,,photograph.png,1,1,0,0,,,,,2,study_1_grey,photograph.png,grey_photo_pliers2.png
