Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
95,1598649528852,28/08/2020 21:18:48,1598649528282,-5,28/08/2020 16:18:48,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,58,45,1,fixation,fixation,fixation,499.86000000001513,,,,0,1,0,,,,,2,study_3_grey,word.png,word_mouse.png
96,1598649529764,28/08/2020 21:18:49,1598649529192,-5,28/08/2020 16:18:49,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,58,45,2,stim_3_grey,buttonA,response_button_image,872.5700000068173,,word.png,1,1,0,0,,,,,2,study_3_grey,word.png,word_mouse.png
97,1598649530669,28/08/2020 21:18:50,1598649530098,-5,28/08/2020 16:18:50,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,31,46,1,fixation,fixation,fixation,500.1680000000051,,,,0,1,0,,,,,2,study_3_grey,photograph.png,grey_photo_lips2.png
98,1598649533181,28/08/2020 21:18:53,1598649532514,-5,28/08/2020 16:18:52,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,31,46,2,stim_3_grey,buttonB,response_button_image,2378.154999925755,,photograph.png,1,1,0,0,,,,,2,study_3_grey,photograph.png,grey_photo_lips2.png
99,1598649534009,28/08/2020 21:18:54,1598649533431,-5,28/08/2020 16:18:53,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,24,47,1,fixation,fixation,fixation,499.7510000000184,,,,0,1,0,,,,,2,study_3_grey,line-drawing.png,grey_line_watch.png
100,1598649534993,28/08/2020 21:18:54,1598649534421,-5,28/08/2020 16:18:54,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,24,47,2,stim_3_grey,Zone1,response_button_image,959.4350000843406,,line-drawing.png,1,1,0,0,,,,,2,study_3_grey,line-drawing.png,grey_line_watch.png
101,1598649535900,28/08/2020 21:18:55,1598649535330,-5,28/08/2020 16:18:55,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,53,48,1,fixation,fixation,fixation,499.44200000001,,,,0,1,0,,,,,2,study_3_grey,word.png,word_eagle.png
102,1598649536839,28/08/2020 21:18:56,1598649536271,-5,28/08/2020 16:18:56,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,53,48,2,stim_3_grey,buttonA,response_button_image,903.3000000054017,,word.png,1,1,0,0,,,,,2,study_3_grey,word.png,word_eagle.png
103,1598649537749,28/08/2020 21:18:57,1598649537181,-5,28/08/2020 16:18:57,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,43,49,1,fixation,fixation,fixation,500.1940000000177,,,,0,1,0,,,,,2,study_3_grey,photograph.png,grey_photo_spider3.png
104,1598649538953,28/08/2020 21:18:58,1598649538379,-5,28/08/2020 16:18:58,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,43,49,2,stim_3_grey,buttonB,response_button_image,1162.9249999532476,,photograph.png,1,1,0,0,,,,,2,study_3_grey,photograph.png,grey_photo_spider3.png
105,1598649539869,28/08/2020 21:18:59,1598649539297,-5,28/08/2020 16:18:59,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,50,50,1,fixation,fixation,fixation,500.20800000001327,,,,0,1,0,,,,,2,study_3_grey,word.png,word_cherry.png
106,1598649540701,28/08/2020 21:19:00,1598649540137,-5,28/08/2020 16:19:00,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,50,50,2,stim_3_grey,buttonA,response_button_image,806.5199999837205,,word.png,1,1,0,0,,,,,2,study_3_grey,word.png,word_cherry.png
107,1598649541627,28/08/2020 21:19:01,1598649541048,-5,28/08/2020 16:19:01,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,59,51,1,fixation,fixation,fixation,499.4799999999814,,,,0,1,0,,,,,2,study_3_grey,word.png,word_ostrich.png
108,1598649542642,28/08/2020 21:19:02,1598649542083,-5,28/08/2020 16:19:02,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,59,51,2,stim_3_grey,buttonA,response_button_image,1001.369999954477,,word.png,1,1,0,0,,,,,2,study_3_grey,word.png,word_ostrich.png
109,1598649543564,28/08/2020 21:19:03,1598649542997,-5,28/08/2020 16:19:02,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,63,52,1,fixation,fixation,fixation,500.2069999999949,,,,0,1,0,,,,,2,study_3_grey,word.png,word_toaster.png
110,1598649544394,28/08/2020 21:19:04,1598649543818,-5,28/08/2020 16:19:03,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,63,52,2,stim_3_grey,buttonA,response_button_image,788.4600000688806,,word.png,1,1,0,0,,,,,2,study_3_grey,word.png,word_toaster.png
111,1598649545303,28/08/2020 21:19:05,1598649544729,-5,28/08/2020 16:19:04,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,39,53,1,fixation,fixation,fixation,500.1050000000105,,,,0,1,0,,,,,2,study_3_grey,photograph.png,grey_photo_ring1.png
112,1598649546552,28/08/2020 21:19:06,1598649545775,-5,28/08/2020 16:19:05,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,39,53,2,stim_3_grey,buttonB,response_button_image,1013.924999977462,,photograph.png,1,1,0,0,,,,,2,study_3_grey,photograph.png,grey_photo_ring1.png
113,1598649547255,28/08/2020 21:19:07,1598649546685,-5,28/08/2020 16:19:06,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,60,54,1,fixation,fixation,fixation,499.7149999999965,,,,0,1,0,,,,,2,study_3_grey,word.png,word_socks.png
114,1598649548068,28/08/2020 21:19:08,1598649547483,-5,28/08/2020 16:19:07,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,60,54,2,stim_3_grey,buttonA,response_button_image,765.7500000204891,,word.png,1,1,0,0,,,,,2,study_3_grey,word.png,word_socks.png
115,1598649549000,28/08/2020 21:19:09,1598649548395,-5,28/08/2020 16:19:08,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,62,55,1,fixation,fixation,fixation,499.5139999999956,,,,0,1,0,,,,,2,study_3_grey,word.png,word_thumb.png
116,1598649549962,28/08/2020 21:19:09,1598649549392,-5,28/08/2020 16:19:09,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,62,55,2,stim_3_grey,buttonA,response_button_image,962.3200000496581,,word.png,1,1,0,0,,,,,2,study_3_grey,word.png,word_thumb.png
117,1598649550977,28/08/2020 21:19:10,1598649550312,-5,28/08/2020 16:19:10,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,32,56,1,fixation,fixation,fixation,499.9640000000072,,,,0,1,0,,,,,2,study_3_grey,photograph.png,grey_photo_peach1.png
118,1598649552024,28/08/2020 21:19:12,1598649551450,-5,28/08/2020 16:19:11,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,32,56,2,stim_3_grey,buttonB,response_button_image,1100.9349999949336,,photograph.png,1,1,0,0,,,,,2,study_3_grey,photograph.png,grey_photo_peach1.png
119,1598649553025,28/08/2020 21:19:13,1598649552362,-5,28/08/2020 16:19:12,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,40,57,1,fixation,fixation,fixation,499.95900000000256,,,,0,1,0,,,,,2,study_3_grey,photograph.png,grey_photo_seal2.png
120,1598649554579,28/08/2020 21:19:14,1598649554008,-5,28/08/2020 16:19:14,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,40,57,2,stim_3_grey,buttonB,response_button_image,1613.9149999944493,,photograph.png,1,1,0,0,,,,,2,study_3_grey,photograph.png,grey_photo_seal2.png
121,1598649555485,28/08/2020 21:19:15,1598649554912,-5,28/08/2020 16:19:14,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,45,58,1,fixation,fixation,fixation,499.77999999999884,,,,0,1,0,,,,,2,study_3_grey,photograph.png,grey_photo_train1.png
122,1598649556642,28/08/2020 21:19:16,1598649556074,-5,28/08/2020 16:19:16,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,45,58,2,stim_3_grey,buttonB,response_button_image,1118.4099999954924,,photograph.png,1,1,0,0,,,,,2,study_3_grey,photograph.png,grey_photo_train1.png
123,1598649557555,28/08/2020 21:19:17,1598649556995,-5,28/08/2020 16:19:16,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,66,59,1,fixation,fixation,fixation,500.18699999997625,,,,0,1,0,,,,,2,study_3_grey,word.png,word_well.png
124,1598649558713,28/08/2020 21:19:18,1598649558142,-5,28/08/2020 16:19:18,19134,4,task-zde5,,6642653,ifgjgc2j,1902733,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x864,Test_Checkpoint,E-3. Study_3_GREY,4,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_3_grey_spreadsheet,66,59,2,stim_3_grey,buttonA,response_button_image,1110.7900000642985,,word.png,1,1,0,0,,,,,2,study_3_grey,word.png,word_well.png
