Trial,Subject,Phase,Stimulus,Stimulus Type,Probe,Probe Type,Response,Accuracy,RT
75,PSE-129,Test,none,Colour_Picture,glass,New,no,1,968
85,PSE-129,Test,none,Colour_Picture,leaf,New,no,1,875
101,PSE-129,Test,none,Colour_Picture,bicycle,New,no,1,1750
105,PSE-129,Test,none,Colour_Picture,artichoke,New,no,1,883
113,PSE-129,Test,none,Colour_Picture,squirrel,New,no,1,971
114,PSE-129,Test,none,Colour_Picture,foot,New,no,1,1324
116,PSE-129,Test,none,Colour_Picture,train,New,no,1,824
56,PSE-129,Test,none,Colour_Picture,bat,Old,yes,1,825
57,PSE-129,Test,none,Colour_Picture,pepper,Old,yes,1,700
58,PSE-129,Test,none,Colour_Picture,kangaroo,Old,yes,1,1095
61,PSE-129,Test,none,Colour_Picture,tortoise,Old,yes,1,1079
72,PSE-129,Test,none,Colour_Picture,spool,Old,yes,1,840
79,PSE-129,Test,none,Colour_Picture,penguin,Old,yes,1,809
96,PSE-129,Test,none,Colour_Picture,grapes,Old,yes,1,773
97,PSE-129,Test,none,Colour_Picture,potato,Old,yes,1,1730
107,PSE-129,Test,none,Colour_Picture,sweater,Old,yes,1,862
119,PSE-129,Test,none,Colour_Picture,bowl,Old,yes,1,813
44,PSE-129,Test,none,Colour_Word,bread,New,no,1,2286
47,PSE-129,Test,none,Colour_Word,dresser,New,no,1,1185
50,PSE-129,Test,none,Colour_Word,star,New,no,1,1453
54,PSE-129,Test,none,Colour_Word,helicopter,New,no,1,1965
71,PSE-129,Test,none,Colour_Word,peacock,New,no,1,1177
91,PSE-129,Test,none,Colour_Word,pumpkin,New,no,1,2298
93,PSE-129,Test,none,Colour_Word,refrigerator,New,no,1,863
99,PSE-129,Test,none,Colour_Word,sock,New,no,1,1594
104,PSE-129,Test,none,Colour_Word,duck,New,no,1,2431
112,PSE-129,Test,none,Colour_Word,goat,New,no,1,1781
49,PSE-129,Test,none,Colour_Word,fish,Old,yes,1,961
51,PSE-129,Test,none,Colour_Word,boot,Old,yes,1,917
64,PSE-129,Test,none,Colour_Word,rooster,Old,yes,1,842
73,PSE-129,Test,none,Colour_Word,deer,Old,yes,1,832
88,PSE-129,Test,none,Colour_Word,camel,Old,no,0,773
94,PSE-129,Test,none,Colour_Word,butterfly,Old,yes,1,879
100,PSE-129,Test,none,Colour_Word,trumpet,Old,yes,1,777
103,PSE-129,Test,none,Colour_Word,tie,Old,yes,1,865
111,PSE-129,Test,none,Colour_Word,clock,Old,yes,1,1043
118,PSE-129,Test,none,Colour_Word,crown,Old,yes,1,1180
1,PSE-130,Study,kite,BW_Picture,none,none,none,-1,-1
3,PSE-130,Study,tiger,BW_Picture,none,none,none,-1,-1
6,PSE-130,Study,box,BW_Picture,none,none,none,-1,-1
10,PSE-130,Study,train,BW_Picture,none,none,none,-1,-1
15,PSE-130,Study,glove,BW_Picture,none,none,none,-1,-1
21,PSE-130,Study,owl,BW_Picture,none,none,none,-1,-1
24,PSE-130,Study,cap,BW_Picture,none,none,none,-1,-1
31,PSE-130,Study,corn,BW_Picture,none,none,none,-1,-1
38,PSE-130,Study,lightbulb,BW_Picture,none,none,none,-1,-1
39,PSE-130,Study,giraffe,BW_Picture,none,none,none,-1,-1
2,PSE-130,Study,trumpet,BW_Word,none,none,none,-1,-1
12,PSE-130,Study,clown,BW_Word,none,none,none,-1,-1
14,PSE-130,Study,cake,BW_Word,none,none,none,-1,-1
17,PSE-130,Study,snake,BW_Word,none,none,none,-1,-1
19,PSE-130,Study,chair,BW_Word,none,none,none,-1,-1
22,PSE-130,Study,table,BW_Word,none,none,none,-1,-1
25,PSE-130,Study,truck,BW_Word,none,none,none,-1,-1
26,PSE-130,Study,pitcher,BW_Word,none,none,none,-1,-1
36,PSE-130,Study,church,BW_Word,none,none,none,-1,-1
37,PSE-130,Study,rabbit,BW_Word,none,none,none,-1,-1
4,PSE-130,Study,monkey,Colour_Picture,none,none,none,-1,-1
7,PSE-130,Study,dress,Colour_Picture,none,none,none,-1,-1
8,PSE-130,Study,eagle,Colour_Picture,none,none,none,-1,-1
11,PSE-130,Study,flower,Colour_Picture,none,none,none,-1,-1
16,PSE-130,Study,desk,Colour_Picture,none,none,none,-1,-1
18,PSE-130,Study,shirt,Colour_Picture,none,none,none,-1,-1
20,PSE-130,Study,stove,Colour_Picture,none,none,none,-1,-1
27,PSE-130,Study,bus,Colour_Picture,none,none,none,-1,-1
33,PSE-130,Study,doll,Colour_Picture,none,none,none,-1,-1
40,PSE-130,Study,bear,Colour_Picture,none,none,none,-1,-1
5,PSE-130,Study,refrigerator,Colour_Word,none,none,none,-1,-1
9,PSE-130,Study,balloon,Colour_Word,none,none,none,-1,-1
13,PSE-130,Study,cherry,Colour_Word,none,none,none,-1,-1
23,PSE-130,Study,heart,Colour_Word,none,none,none,-1,-1
28,PSE-130,Study,purse,Colour_Word,none,none,none,-1,-1
29,PSE-130,Study,bat,Colour_Word,none,none,none,-1,-1
30,PSE-130,Study,carrot,Colour_Word,none,none,none,-1,-1
32,PSE-130,Study,horse,Colour_Word,none,none,none,-1,-1
34,PSE-130,Study,basket,Colour_Word,none,none,none,-1,-1
35,PSE-130,Study,stool,Colour_Word,none,none,none,-1,-1
59,PSE-130,Test,none,BW_Picture,pencil,New,no,1,3243
66,PSE-130,Test,none,BW_Picture,vase,New,no,1,4030
