Trial,Subject,Phase,Stimulus,Stimulus Type,Probe,Probe Type,Response,Accuracy,RT
6,PSE-165,Study,screwdriver,BW_Picture,none,none,none,-1,-1
7,PSE-165,Study,church,BW_Picture,none,none,none,-1,-1
10,PSE-165,Study,lemon,BW_Picture,none,none,none,-1,-1
15,PSE-165,Study,desk,BW_Picture,none,none,none,-1,-1
20,PSE-165,Study,ear,BW_Picture,none,none,none,-1,-1
22,PSE-165,Study,toothbrush,BW_Picture,none,none,none,-1,-1
28,PSE-165,Study,door,BW_Picture,none,none,none,-1,-1
29,PSE-165,Study,truck,BW_Picture,none,none,none,-1,-1
34,PSE-165,Study,squirrel,BW_Picture,none,none,none,-1,-1
42,PSE-165,Study,stove,BW_Picture,none,none,none,-1,-1
46,PSE-165,Study,peacock,BW_Picture,none,none,none,-1,-1
51,PSE-165,Study,strawberry,BW_Picture,none,none,none,-1,-1
52,PSE-165,Study,couch,BW_Picture,none,none,none,-1,-1
53,PSE-165,Study,bus,BW_Picture,none,none,none,-1,-1
54,PSE-165,Study,bear,BW_Picture,none,none,none,-1,-1
62,PSE-165,Study,bat,BW_Picture,none,none,none,-1,-1
63,PSE-165,Study,ball,BW_Picture,none,none,none,-1,-1
69,PSE-165,Study,kite,BW_Picture,none,none,none,-1,-1
75,PSE-165,Study,rabbit,BW_Picture,none,none,none,-1,-1
78,PSE-165,Study,racoon,BW_Picture,none,none,none,-1,-1
2,PSE-165,Study,shirt,BW_Word,none,none,none,-1,-1
3,PSE-165,Study,trumpet,BW_Word,none,none,none,-1,-1
4,PSE-165,Study,well,BW_Word,none,none,none,-1,-1
8,PSE-165,Study,snake,BW_Word,none,none,none,-1,-1
9,PSE-165,Study,glove,BW_Word,none,none,none,-1,-1
11,PSE-165,Study,tomato,BW_Word,none,none,none,-1,-1
12,PSE-165,Study,book,BW_Word,none,none,none,-1,-1
16,PSE-165,Study,belt,BW_Word,none,none,none,-1,-1
30,PSE-165,Study,barn,BW_Word,none,none,none,-1,-1
33,PSE-165,Study,refrigerator,BW_Word,none,none,none,-1,-1
38,PSE-165,Study,cow,BW_Word,none,none,none,-1,-1
39,PSE-165,Study,peanut,BW_Word,none,none,none,-1,-1
48,PSE-165,Study,orange,BW_Word,none,none,none,-1,-1
55,PSE-165,Study,asparagus,BW_Word,none,none,none,-1,-1
57,PSE-165,Study,clock,BW_Word,none,none,none,-1,-1
58,PSE-165,Study,celery,BW_Word,none,none,none,-1,-1
65,PSE-165,Study,bread,BW_Word,none,none,none,-1,-1
68,PSE-165,Study,camel,BW_Word,none,none,none,-1,-1
74,PSE-165,Study,car,BW_Word,none,none,none,-1,-1
80,PSE-165,Study,owl,BW_Word,none,none,none,-1,-1
1,PSE-165,Study,envelope,Colour_Picture,none,none,none,-1,-1
